TIME,P_001_v000,P_001_v001,P_002_v000,P_002_v001
2025-01-01 00:01:00,0.9986994,0.9002608,1.0018723,0.9035452
2025-01-01 00:02:00,0.9986876,0.90025014,1.001863,0.9035377
2025-01-01 00:03:00,0.9986758,0.9002395,1.0018538,0.90353024
2025-01-01 00:04:00,0.9986641,0.9002289,1.0018448,0.9035228
2025-01-01 00:05:00,0.99865234,0.90021837,1.0018356,0.9035154
2025-01-01 00:06:00,0.99864066,0.9002078,1.0018265,0.9035081
2025-01-01 00:07:00,0.998629,0.9001973,1.0018176,0.90350085
2025-01-01 00:08:00,0.99861735,0.90018684,1.0018085,0.9034936
2025-01-01 00:09:00,0.9986057,0.9001764,1.0017996,0.90348643
2025-01-01 00:10:00,0.9985941,0.90016603,1.0017908,0.9034793
2025-01-01 00:11:00,0.99858254,0.90015566,1.001782,0.9034722
2025-01-01 00:12:00,0.99857104,0.90014535,1.0017731,0.90346515
2025-01-01 00:13:00,0.99855953,0.9001351,1.0017643,0.9034582
2025-01-01 00:14:00,0.99854803,0.90012485,1.0017556,0.90345126
2025-01-01 00:15:00,0.9985366,0.9001146,1.0017469,0.90344435
2025-01-01 00:16:00,0.99852514,0.90010446,1.0017383,0.9034375
2025-01-01 00:17:00,0.99851376,0.9000943,1.0017297,0.9034307
2025-01-01 00:18:00,0.9985024,0.9000842,1.0017211,0.90342396
2025-01-01 00:19:00,0.99849105,0.9000741,1.0017127,0.9034173
2025-01-01 00:20:00,0.9984797,0.9000641,1.0017042,0.9034106
2025-01-01 00:21:00,0.9984684,0.9000541,1.0016958,0.90340406
2025-01-01 00:22:00,0.9984572,0.90004414,1.0016874,0.9033975
2025-01-01 00:23:00,0.9984459,0.9000342,1.0016791,0.903391
2025-01-01 00:24:00,0.9984347,0.90002435,1.0016708,0.90338457
2025-01-01 00:25:00,0.9984236,0.90001446,1.0016626,0.9033782
2025-01-01 00:26:00,0.99841243,0.9000047,1.0016544,0.9033718
2025-01-01 00:27:00,0.99840134,0.8999949,1.0016463,0.90336555
2025-01-01 00:28:00,0.99839026,0.8999852,1.0016382,0.9033593
2025-01-01 00:29:00,0.99837923,0.8999755,1.0016301,0.9033531
2025-01-01 00:30:00,0.9970524,0.9046601,1.0003761,0.90863156
2025-01-01 00:31:00,0.9959887,0.9077018,0.9993713,0.9120605
2025-01-01 00:32:00,0.99513566,0.9096755,0.998566,0.91428715
2025-01-01 00:33:00,0.99445105,0.91095513,0.9979202,0.91573244
2025-01-01 00:34:00,0.9939012,0.9117836,0.997402,0.91666985
2025-01-01 00:35:00,0.99345917,0.91231877,0.9969859,0.9172771
2025-01-01 00:36:00,0.9931034,0.9126634,0.9966516,0.91766983
2025-01-01 00:37:00,0.9928166,0.9128842,0.9963826,0.9179231
2025-01-01 00:38:00,0.9925851,0.9130244,0.9961659,0.91808575
2025-01-01 00:39:00,0.9923978,0.91311234,0.99599105,0.91818947
2025-01-01 00:40:00,0.9922458,0.9131663,0.99584967,0.91825503
2025-01-01 00:41:00,0.9921221,0.9131981,0.9957351,0.9182957
2025-01-01 00:42:00,0.9920211,0.91321564,0.99564207,0.91832024
2025-01-01 00:43:00,0.9919381,0.91322386,0.9955662,0.9183343
2025-01-01 00:44:00,0.9918697,0.913226,0.995504,0.9183416
2025-01-01 00:45:00,0.9918129,0.91322434,0.9954528,0.9183445
2025-01-01 00:46:00,0.9917653,0.91322005,0.9954105,0.9183445
2025-01-01 00:47:00,0.99172527,0.9132142,0.9953752,0.9183427
2025-01-01 00:48:00,0.9916911,0.9132073,0.9953456,0.9183397
2025-01-01 00:49:00,0.9916618,0.9131997,0.9953205,0.9183361
