TIME,B_001_v000,B_001_v001,B_015_v000,B_015_v001,B_120_v000,B_120_v001,B_198_v000,B_198_v001,B_233_v000,B_233_v001,B_273_v000,B_273_v001,B_286_v000,B_286_v001,B_302_v000,B_302_v001,B_317_v000,B_317_v001,B_329_v000,B_329_v001,B_341_v000,B_341_v001
2025-01-01 00:01:00,0.7998485,0.9023576,0.80485636,0.90733045,0.79576623,0.898151,0.80047375,0.9027252,0.80489814,0.9069875,0.8089907,0.8969077,0.79874086,0.900495,0.80217725,0.9037967,0.8053643,0.90689266,0.7943952,0.8958864,0.7973808,0.8988931
2025-01-01 00:02:00,0.7998616,0.90237063,0.80486894,0.9073422,0.7957768,0.8981601,0.80048114,0.9027307,0.8049015,0.9069887,0.80898964,0.89690447,0.7987355,0.9004877,0.8021682,0.9037862,0.8053526,0.9068801,0.7943822,0.8958733,0.797368,0.8988809
2025-01-01 00:03:00,0.7998747,0.9023836,0.80488145,0.9073539,0.79578733,0.8981692,0.8004885,0.90273607,0.8049048,0.90698975,0.8089885,0.89690113,0.79873013,0.9004804,0.80215913,0.90377563,0.80534095,0.90686756,0.7943692,0.8958602,0.7973552,0.8988688
2025-01-01 00:04:00,0.7998878,0.9023966,0.804894,0.90736556,0.7957978,0.8981782,0.8004958,0.90274143,0.80490804,0.9069908,0.8089874,0.8968978,0.79872465,0.900473,0.80215,0.903765,0.8053292,0.906855,0.7943562,0.89584714,0.7973424,0.89885664
2025-01-01 00:05:00,0.7999009,0.9024096,0.8049065,0.90737724,0.7958083,0.8981872,0.800503,0.90274674,0.80491126,0.90699184,0.8089861,0.89689434,0.79871917,0.90046555,0.80214083,0.9037544,0.8053174,0.9068424,0.7943432,0.895834,0.7973296,0.89884454
2025-01-01 00:06:00,0.799914,0.9024226,0.804919,0.90738887,0.79581875,0.89819616,0.8005102,0.902752,0.80491436,0.90699273,0.8089849,0.8968909,0.79871356,0.90045804,0.80213165,0.90374374,0.8053056,0.90682983,0.7943302,0.8958209,0.79731685,0.89883244
2025-01-01 00:07:00,0.7999271,0.90243554,0.80493146,0.9074005,0.7958292,0.8982051,0.8005174,0.90275717,0.80491745,0.9069936,0.8089835,0.89688736,0.79870796,0.9004505,0.8021224,0.9037331,0.8052938,0.90681726,0.7943171,0.89580786,0.7973041,0.8988204
2025-01-01 00:08:00,0.7999402,0.90244853,0.8049439,0.90741205,0.79583955,0.898214,0.8005245,0.9027623,0.8049205,0.90699446,0.8089821,0.8968838,0.7987023,0.9004429,0.8021131,0.90372235,0.805282,0.9068046,0.7943041,0.89579475,0.79729134,0.89880836
2025-01-01 00:09:00,0.79995334,0.90246147,0.8049563,0.9074236,0.79584986,0.8982228,0.80053157,0.9027674,0.8049235,0.90699524,0.80898064,0.89688015,0.7986966,0.90043527,0.80210376,0.9037116,0.8052701,0.906792,0.794291,0.8957817,0.7972786,0.8987963
2025-01-01 00:10:00,0.7999664,0.9024744,0.8049687,0.9074351,0.7958602,0.89823157,0.80053854,0.9027724,0.8049264,0.90699595,0.80897915,0.89687645,0.7986908,0.9004276,0.8020944,0.9037008,0.8052582,0.90677935,0.794278,0.89576864,0.7972659,0.89878434
2025-01-01 00:11:00,0.7999795,0.90248734,0.8049812,0.9074466,0.7958704,0.8982403,0.8005455,0.9027774,0.80492926,0.9069966,0.80897754,0.8968727,0.798685,0.9004199,0.80208504,0.90369004,0.8052463,0.90676665,0.794265,0.8957556,0.7972532,0.89877236
2025-01-01 00:12:00,0.7999926,0.9025003,0.8049935,0.9074581,0.7958807,0.89824903,0.8005524,0.9027823,0.80493206,0.9069972,0.80897593,0.8968689,0.7986791,0.9004121,0.80207556,0.9036792,0.8052344,0.906754,0.79425186,0.8957425,0.7972405,0.89876044
2025-01-01 00:13:00,0.80000573,0.9025132,0.80500585,0.9074695,0.79589087,0.8982577,0.8005593,0.9027872,0.8049348,0.90699774,0.80897427,0.896865,0.7986732,0.9004043,0.8020661,0.9036683,0.80522245,0.9067413,0.7942388,0.8957295,0.79722786,0.8987485
2025-01-01 00:14:00,0.80001885,0.90252614,0.80501825,0.90748096,0.795901,0.89826626,0.80056614,0.90279204,0.8049375,0.9069982,0.8089725,0.8968611,0.7986672,0.9003964,0.80205655,0.9036574,0.8052104,0.90672857,0.79422575,0.89571637,0.79721516,0.8987366
2025-01-01 00:15:00,0.80003196,0.902539,0.8050305,0.90749234,0.79591113,0.89827484,0.8005729,0.9027968,0.8049401,0.90699863,0.8089707,0.89685714,0.7986612,0.90038854,0.802047,0.90364647,0.80519843,0.90671587,0.7942127,0.8957033,0.7972025,0.89872473
2025-01-01 00:16:00,0.8000451,0.9025519,0.80504286,0.9075037,0.79592127,0.89828336,0.8005796,0.9028015,0.80494267,0.906999,0.80896884,0.8968531,0.7986551,0.90038055,0.80203736,0.90363544,0.8051864,0.9067031,0.7941996,0.8956903,0.79718983,0.8987129
