TIME,C_001_v000,C_001_v001,C_001_v002,C_002_v000,C_002_v001,C_002_v002,C_005_v000,C_005_v001,C_005_v002,C_008_v000,C_008_v001,C_008_v002,C_014_v000,C_014_v001,C_014_v002,C_016_v000,C_016_v001,C_016_v002,C_017_v000,C_017_v001,C_017_v002,C_019_v000,C_019_v001,C_019_v002,C_021_v000,C_021_v001,C_021_v002,C_022_v000,C_022_v001,C_022_v002,C_023_v000,C_023_v001,C_023_v002
2025-01-01 00:01:00,0.84518486,0.94705003,0.99900025,0.85315907,0.9413631,0.9936431,0.8483971,0.9508492,1.0033344,0.8443481,0.9468472,0.9993219,0.8541443,0.95646834,1.0087212,0.8489866,0.95099145,1.00291,0.85650027,0.95818377,0.9958043,0.84890175,0.95040464,1.0018959,0.854902,0.9424455,0.9940338,0.8473908,0.9491779,1.0010463,0.8410402,0.94316566,0.99537295
2025-01-01 00:02:00,0.8451804,0.94704765,0.9990001,0.8531633,0.94136935,0.9936513,0.84840816,0.95086133,1.0033472,0.8443611,0.9468598,0.9993337,0.85415345,0.9564758,1.0087268,0.8489878,0.95099044,1.0029068,0.856493,0.95817477,0.9957938,0.8488892,0.95039165,1.0018828,0.8548898,0.9424343,0.9940239,0.84738433,0.94917345,1.001044,0.84104234,0.94317,0.99537927
2025-01-01 00:03:00,0.8451759,0.9470454,0.999,0.8531676,0.9413757,0.99365944,0.84841925,0.95087343,1.00336,0.84437406,0.9468723,0.99934536,0.8541626,0.9564831,1.0087322,0.848989,0.95098937,1.0029036,0.8564857,0.9581657,0.9957833,0.84887666,0.95037866,1.0018697,0.85487765,0.94242316,0.9940141,0.8473779,0.9491691,1.0010419,0.8410446,0.94317436,0.99538565
2025-01-01 00:04:00,0.8451715,0.9470431,0.99899995,0.85317194,0.94138205,0.99366766,0.84843045,0.9508856,1.0033728,0.8443871,0.9468848,0.9993571,0.85417163,0.9564905,1.0087376,0.8489901,0.95098823,1.0029002,0.85647833,0.9581566,0.9957728,0.84886414,0.95036566,1.0018566,0.8548655,0.942412,0.99400425,0.8473716,0.9491648,1.0010397,0.84104687,0.94317883,0.99539214
2025-01-01 00:05:00,0.84516716,0.9470409,0.999,0.85317636,0.9413885,0.99367595,0.8484416,0.9508978,1.0033857,0.8444001,0.9468974,0.9993688,0.85418063,0.9564978,1.0087429,0.8489911,0.95098704,1.0028969,0.85647094,0.95814747,0.99576217,0.84885156,0.9503526,1.0018435,0.8548534,0.94240093,0.99399453,0.84736526,0.9491606,1.0010376,0.8410492,0.9431833,0.99539864
2025-01-01 00:06:00,0.84516287,0.9470388,0.9990001,0.8531808,0.941395,0.99368423,0.84845287,0.95091,1.0033985,0.8444131,0.94690984,0.9993804,0.85418963,0.956505,1.0087482,0.8489921,0.9509858,1.0028934,0.8564635,0.9581383,0.9957515,0.848839,0.9503396,1.0018305,0.8548413,0.9423898,0.99398476,0.84735906,0.94915634,1.0010356,0.8410516,0.94318783,0.9954052
2025-01-01 00:07:00,0.8451587,0.94703674,0.99900025,0.8531853,0.9414015,0.9936926,0.8484641,0.9509222,1.0034113,0.84442604,0.94692236,0.99939203,0.8541986,0.9565122,1.0087534,0.848993,0.95098454,1.00289,0.856456,0.9581291,0.9957409,0.8488264,0.9503266,1.0018173,0.8548292,0.94237876,0.9939751,0.84735286,0.94915223,1.0010335,0.841054,0.9431924,0.9954118
2025-01-01 00:08:00,0.84515446,0.9470347,0.99900043,0.8531899,0.9414081,0.993701,0.84847534,0.95093447,1.0034242,0.844439,0.9469348,0.99940366,0.85420746,0.9565193,1.0087587,0.8489939,0.95098317,1.0028864,0.8564484,0.95811987,0.9957302,0.8488138,0.9503135,1.0018042,0.85481715,0.9423678,0.99396545,0.8473467,0.9491481,1.0010316,0.8410565,0.9431971,0.9954184
2025-01-01 00:09:00,0.84515035,0.94703275,0.9990007,0.8531945,0.9414147,0.99370944,0.84848666,0.95094675,1.003437,0.844452,0.9469473,0.9994152,0.85421634,0.95652646,1.0087638,0.8489947,0.95098174,1.0028828,0.85644084,0.9581105,0.99571943,0.8488012,0.9503005,1.0017911,0.8548051,0.94235677,0.9939558,0.84734064,0.94914407,1.0010297,0.8410591,0.9432018,0.99542516
2025-01-01 00:10:00,0.8451463,0.94703084,0.999001,0.8531991,0.9414214,0.9937179,0.848498,0.95095897,1.0034499,0.84446496,0.9469597,0.9994268,0.8542251,0.9565335,1.0087688,0.84899545,0.95098025,1.0028791,0.85643315,0.9581012,0.9957087,0.84878856,0.95028746,1.0017781,0.8547931,0.94234586,0.99394625,0.84733456,0.9491401,1.001028,0.8410617,0.94320655,0.9954319
2025-01-01 00:11:00,0.84514225,0.947029,0.9990014,0.8532039,0.9414281,0.99372643,0.8485094,0.9509713,1.0034628,0.8444779,0.9469721,0.9994383,0.8542339,0.95654047,1.0087738,0.84899616,0.95097876,1.0028754,0.85642546,0.95809186,0.9956979,0.84877586,0.9502744,1.001765,0.85478115,0.94233495,0.9939367,0.8473286,0.94913614,1.0010262,0.8410644,0.9432113,0.9954387
2025-01-01 00:12:00,0.8451383,0.9470272,0.9990018,0.85320866,0.94143486,0.993735,0.84852076,0.95098364,1.0034758,0.8444908,0.94698447,0.9994498,0.8542426,0.95654744,1.0087788,0.84899676,0.95097715,1.0028716,0.8564177,0.9580824,0.99568707,0.8487632,0.95026135,1.001752,0.8547691,0.94232404,0.99392724,0.84732264,0.94913226,1.0010245,0.84106714,0.9432162,0.99544555
2025-01-01 00:13:00,0.84513444,0.9470255,0.99900234,0.8532135,0.94144166,0.99374366,0.84853214,0.950996,1.0034887,0.84450376,0.94699687,0.99946123,0.8542513,0.9565543,1.0087837,0.84899735,0.9509755,1.0028678,0.85640997,0.95807296,0.9956762,0.84875053,0.9502483,1.0017389,0.8547572,0.9423132,0.99391776,0.84731674,0.94912845,1.0010228,0.84106994,0.9432211,0.99545246
2025-01-01 00:14:00,0.84513056,0.9470238,0.9990029,0.8532184,0.94144857,0.9937523,0.8485436,0.9510083,1.0035015,0.8445167,0.9470092,0.9994727,0.85425997,0.95656115,1.0087886,0.8489979,0.9509738,1.002864,0.85640216,0.9580635,0.9956654,0.84873784,0.95023525,1.0017258,0.85474527,0.94230235,0.99390835,0.8473109,0.9491247,1.0010213,0.84107274,0.94322604,0.9954594
2025-01-01 00:15:00,0.84512675,0.9470222,0.99900347,0.8532233,0.9414555,0.993761,0.8485551,0.9510207,1.0035145,0.84452957,0.94702154,0.99948406,0.85426855,0.956568,1.0087934,0.84899837,0.950972,1.0028601,0.85639423,0.9580539,0.9956544,0.84872514,0.9502222,1.0017128,0.85473335,0.94229156,0.993899,0.8473051,0.949121,1.0010197,0.84107566,0.9432311,0.9954664
2025-01-01 00:16:00,0.845123,0.94702065,0.9990041,0.8532283,0.94146246,0.99376976,0.8485666,0.9510331,1.0035274,0.8445425,0.9470339,0.99949545,0.85427713,0.95657474,1.0087981,0.8489988,0.95097023,1.002856,0.8563863,0.95804435,0.9956435,0.8487124,0.9502091,1.0016997,0.85472155,0.9422808,0.99388963,0.8472994,0.9491173,1.0010183,0.8410786,0.9432362,0.99547344
2025-01-01 00:17:00,0.8451193,0.9470191,0.99900484,0.85323334,0.9414695,0.9937785,0.8485781,0.9510455,1.0035404,0.8445554,0.94704616,0.9995068,0.8542856,0.9565814,1.0088029,0.8489991,0.9509683,1.002852,0.8563784,0.95803475,0.9956325,0.8486996,0.950196,1.0016867,0.8547097,0.9422701,0.99388033,0.84729373,0.9491137,1.0010169,0.8410816,0.9432413,0.99548054
2025-01-01 00:18:00,0.8451157,0.94701767,0.9990056,0.8532384,0.9414765,0.99378735,0.84858966,0.951058,1.0035534,0.84456825,0.94705844,0.9995181,0.8542941,0.9565881,1.0088075,0.8489994,0.9509664,1.0028479,0.85637033,0.9580251,0.9956215,0.8486869,0.9501829,1.0016737,0.8546978,0.9422594,0.9938711,0.8472881,0.94911015,1.0010155,0.84108466,0.9432465,0.9954877
2025-01-01 00:19:00,0.8451121,0.9470163,0.99900645,0.8532436,0.9414836,0.9937962,0.8486012,0.9510704,1.0035663,0.8445811,0.94707066,0.9995294,0.8543025,0.9565947,1.0088121,0.8489996,0.95096445,1.0028437,0.8563623,0.9580154,0.9956105,0.8486741,0.9501698,1.0016606,0.8546861,0.9422487,0.99386185,0.8472825,0.9491067,1.0010142,0.8410878,0.94325167,0.99549484
2025-01-01 00:20:00,0.84510857,0.9470149,0.99900734,0.8532488,0.94149077,0.99380517,0.84861284,0.9510829,1.0035793,0.84459394,0.9470829,0.9995407,0.85431087,0.9566012,1.0088166,0.8489998,0.9509624,1.0028396,0.8563542,0.95800567,0.9955994,0.84866136,0.95015675,1.0016476,0.8546743,0.9422381,0.99385273,0.847277,0.94910324,1.0010129,0.841091,0.943257,0.99550205
2025-01-01 00:21:00,0.8451051,0.9470137,0.9990083,0.853254,0.941498,0.9938141,0.84862447,0.9510954,1.0035923,0.8446068,0.94709516,0.9995519,0.8543192,0.95660776,1.0088211,0.8489999,0.9509603,1.0028353,0.8563461,0.9579959,0.99558824,0.84864855,0.9501437,1.0016346,0.85466254,0.9422275,0.99384356,0.8472715,0.94909984,1.0010117,0.8410942,0.9432623,0.9955094
2025-01-01 00:22:00,0.8451017,0.9470124,0.9990093,0.8532593,0.94150525,0.9938231,0.84863615,0.9511079,1.0036052,0.84461963,0.9471073,0.9995631,0.85432756,0.9566142,1.0088255,0.849,0.95095813,1.002831,0.85633785,0.9579861,0.99557716,0.84863573,0.9501305,1.0016216,0.8546508,0.94221693,0.9938345,0.8472661,0.9490965,1.0010107,0.8410975,0.9432677,0.9955167
2025-01-01 00:23:00,0.8450984,0.9470113,0.9990104,0.8532647,0.9415126,0.9938322,0.84864783,0.95112044,1.0036182,0.84463245,0.94711953,0.9995743,0.8543358,0.95662063,1.00883,0.84900004,0.9509559,1.0028266,0.8563296,0.9579762,0.99556595,0.8486229,0.95011747,1.0016086,0.8546391,0.9422064,0.9938254,0.8472607,0.9490933,1.0010096,0.8411009,0.9432731,0.9955241
