TIME,H_001_v000,H_002_v000
2025-01-01 00:01:00,1.0453292,1.0471365
2025-01-01 00:02:00,1.0453233,1.0471326
2025-01-01 00:03:00,1.0453174,1.0471288
2025-01-01 00:04:00,1.0453116,1.0471251
2025-01-01 00:05:00,1.0453057,1.0471213
2025-01-01 00:06:00,1.0453,1.0471177
2025-01-01 00:07:00,1.0452943,1.047114
2025-01-01 00:08:00,1.0452887,1.0471106
2025-01-01 00:09:00,1.0452831,1.047107
2025-01-01 00:10:00,1.0452776,1.0471035
2025-01-01 00:11:00,1.0452721,1.0471002
2025-01-01 00:12:00,1.0452666,1.0470968
2025-01-01 00:13:00,1.0452613,1.0470936
2025-01-01 00:14:00,1.045256,1.0470903
2025-01-01 00:15:00,1.0452507,1.0470872
2025-01-01 00:16:00,1.0452455,1.0470841
2025-01-01 00:17:00,1.0452403,1.047081
2025-01-01 00:18:00,1.0452352,1.047078
2025-01-01 00:19:00,1.0452302,1.047075
2025-01-01 00:20:00,1.0452251,1.0470722
2025-01-01 00:21:00,1.0452201,1.0470693
2025-01-01 00:22:00,1.0452152,1.0470666
2025-01-01 00:23:00,1.0452104,1.0470638
2025-01-01 00:24:00,1.0452056,1.0470612
2025-01-01 00:25:00,1.0452008,1.0470586
2025-01-01 00:26:00,1.0451962,1.0470561
2025-01-01 00:27:00,1.0451915,1.0470536
2025-01-01 00:28:00,1.045187,1.0470511
2025-01-01 00:29:00,1.0451825,1.0470487
2025-01-01 00:30:00,1.0451587,1.0470148
2025-01-01 00:31:00,1.0451359,1.0469822
2025-01-01 00:32:00,1.0451139,1.0469508
2025-01-01 00:33:00,1.0450925,1.0469207
2025-01-01 00:34:00,1.045072,1.0468918
2025-01-01 00:35:00,1.045052,1.0468639
2025-01-01 00:36:00,1.045033,1.0468372
2025-01-01 00:37:00,1.0450144,1.0468116
2025-01-01 00:38:00,1.0449965,1.0467869
2025-01-01 00:39:00,1.0449792,1.0467632
2025-01-01 00:40:00,1.0449625,1.0467404
2025-01-01 00:41:00,1.0449463,1.0467185
2025-01-01 00:42:00,1.0449307,1.0466975
2025-01-01 00:43:00,1.0449157,1.0466772
2025-01-01 00:44:00,1.0449011,1.0466578
2025-01-01 00:45:00,1.0448871,1.0466392
2025-01-01 00:46:00,1.0448735,1.0466213
2025-01-01 00:47:00,1.0448604,1.0466042
2025-01-01 00:48:00,1.0448477,1.0465877
2025-01-01 00:49:00,1.0448354,1.0465719
2025-01-01 00:50:00,1.0448235,1.0465567
2025-01-01 00:51:00,1.0448121,1.0465422
2025-01-01 00:52:00,1.044801,1.0465282
2025-01-01 00:53:00,1.0447903,1.0465147
2025-01-01 00:54:00,1.0447799,1.0465019
2025-01-01 00:55:00,1.0447699,1.0464896
2025-01-01 00:56:00,1.0447602,1.0464777
2025-01-01 00:57:00,1.0447508,1.0464665
2025-01-01 00:58:00,1.0447417,1.0464556
2025-01-01 00:59:00,1.044733,1.0464453
2025-01-01 01:00:00,1.0447979,1.046491
2025-01-01 01:01:00,1.0448601,1.046535
2025-01-01 01:02:00,1.0449197,1.0465773
2025-01-01 01:03:00,1.044977,1.0466179
2025-01-01 01:04:00,1.0450318,1.046657
2025-01-01 01:05:00,1.0450845,1.0466944
2025-01-01 01:06:00,1.0451349,1.0467305
2025-01-01 01:07:00,1.0451833,1.0467652
2025-01-01 01:08:00,1.0452297,1.0467985
2025-01-01 01:09:00,1.0452743,1.0468307
2025-01-01 01:10:00,1.0453169,1.0468614
2025-01-01 01:11:00,1.045358,1.046891
2025-01-01 01:12:00,1.0453972,1.0469196
2025-01-01 01:13:00,1.045435,1.046947
2025-01-01 01:14:00,1.0454712,1.0469733
2025-01-01 01:15:00,1.0455059,1.0469987
2025-01-01 01:16:00,1.0455391,1.0470233
2025-01-01 01:17:00,1.0455711,1.0470468
2025-01-01 01:18:00,1.0456017,1.0470694
2025-01-01 01:19:00,1.045631,1.0470912
2025-01-01 01:20:00,1.0456593,1.0471123
2025-01-01 01:21:00,1.0456864,1.0471326
2025-01-01 01:22:00,1.0457124,1.0471522
2025-01-01 01:23:00,1.0457373,1.047171
2025-01-01 01:24:00,1.0457612,1.0471891
2025-01-01 01:25:00,1.0457842,1.0472066
