TIME,R_001_v000,R_004_v000,R_005_v000,R_006_v000,R_007_v000,R_008_v000,R_010_v000
2025-01-01 00:01:00,0.9085767,0.8967995,0.8989416,0.90099883,0.90296966,0.9048549,0.90665776
2025-01-01 00:02:00,0.9085834,0.89680415,0.89894414,0.9009992,0.90296775,0.90485084,0.9066516
2025-01-01 00:03:00,0.90859,0.8968088,0.89894664,0.9009995,0.90296584,0.9048467,0.9066455
2025-01-01 00:04:00,0.90859663,0.8968134,0.8989491,0.90099967,0.9029638,0.90484256,0.9066393
2025-01-01 00:05:00,0.9086032,0.8968179,0.8989515,0.90099984,0.90296173,0.9048383,0.906633
2025-01-01 00:06:00,0.9086097,0.8968224,0.8989538,0.90099996,0.90295964,0.9048341,0.9066267
2025-01-01 00:07:00,0.9086161,0.8968268,0.89895606,0.901,0.9029575,0.90482974,0.9066204
2025-01-01 00:08:00,0.9086225,0.89683115,0.89895827,0.90099996,0.90295523,0.9048253,0.90661395
2025-01-01 00:09:00,0.9086288,0.89683545,0.8989604,0.9009999,0.90295297,0.9048209,0.9066075
2025-01-01 00:10:00,0.9086351,0.89683974,0.8989625,0.9009998,0.90295064,0.90481645,0.906601
2025-01-01 00:11:00,0.90864134,0.8968439,0.8989645,0.9009996,0.9029482,0.9048119,0.90659446
2025-01-01 00:12:00,0.90864754,0.8968481,0.8989665,0.90099937,0.90294576,0.9048073,0.90658784
2025-01-01 00:13:00,0.9086537,0.89685214,0.89896846,0.90099907,0.90294325,0.9048027,0.90658116
2025-01-01 00:14:00,0.90865976,0.8968562,0.8989703,0.9009987,0.9029407,0.904798,0.9065745
2025-01-01 00:15:00,0.90866584,0.8968602,0.8989721,0.9009983,0.90293807,0.9047932,0.9065677
2025-01-01 00:16:00,0.9086718,0.8968641,0.8989739,0.9009979,0.9029354,0.9047884,0.9065609
2025-01-01 00:17:00,0.90867776,0.896868,0.89897555,0.90099734,0.90293264,0.9047835,0.90655404
2025-01-01 00:18:00,0.90868366,0.8968718,0.8989772,0.90099674,0.9029299,0.9047786,0.9065472
2025-01-01 00:19:00,0.90868944,0.89687556,0.89897877,0.9009961,0.90292704,0.90477365,0.9065402
2025-01-01 00:20:00,0.9086952,0.89687926,0.8989803,0.90099543,0.9029241,0.9047686,0.90653324
2025-01-01 00:21:00,0.90870094,0.8968829,0.8989818,0.90099466,0.9029212,0.9047635,0.90652615
