TIME,N_001_v000,N_002_v000,N_003_v000
2025-01-01 00:01:00,1.0004567,1.0027126,1.0048902
2025-01-01 00:02:00,1.0004642,1.0027181,1.0048937
2025-01-01 00:03:00,1.0004716,1.0027237,1.0048971
2025-01-01 00:04:00,1.0004791,1.0027292,1.0049005
2025-01-01 00:05:00,1.0004864,1.0027345,1.0049038
2025-01-01 00:06:00,1.0004938,1.0027399,1.0049071
2025-01-01 00:07:00,1.000501,1.0027453,1.0049103
2025-01-01 00:08:00,1.0005082,1.0027505,1.0049134
2025-01-01 00:09:00,1.0005153,1.0027556,1.0049165
2025-01-01 00:10:00,1.0005225,1.0027609,1.0049196
2025-01-01 00:11:00,1.0005295,1.0027659,1.0049226
2025-01-01 00:12:00,1.0005366,1.002771,1.0049255
2025-01-01 00:13:00,1.0005436,1.002776,1.0049284
2025-01-01 00:14:00,1.0005505,1.0027809,1.0049312
2025-01-01 00:15:00,1.0005574,1.0027858,1.004934
2025-01-01 00:16:00,1.0005642,1.0027907,1.0049367
2025-01-01 00:17:00,1.000571,1.0027955,1.0049393
2025-01-01 00:18:00,1.0005777,1.0028002,1.0049419
2025-01-01 00:19:00,1.0005844,1.0028049,1.0049444
2025-01-01 00:20:00,1.000591,1.0028095,1.004947
2025-01-01 00:21:00,1.0005976,1.002814,1.0049493
2025-01-01 00:22:00,1.0006042,1.0028186,1.0049517
2025-01-01 00:23:00,1.0006106,1.002823,1.0049541
2025-01-01 00:24:00,1.000617,1.0028274,1.0049564
2025-01-01 00:25:00,1.0006235,1.0028318,1.0049585
2025-01-01 00:26:00,1.0006298,1.0028361,1.0049607
2025-01-01 00:27:00,1.0006361,1.0028403,1.0049627
2025-01-01 00:28:00,1.0006423,1.0028446,1.0049647
2025-01-01 00:29:00,1.0006485,1.0028486,1.0049667
2025-01-01 00:30:00,1.0020846,1.002894,1.0038011
2025-01-01 00:31:00,1.0032347,1.002931,1.002869
2025-01-01 00:32:00,1.004156,1.0029615,1.0021236
2025-01-01 00:33:00,1.0048941,1.0029866,1.0015275
2025-01-01 00:34:00,1.0054859,1.0030073,1.0010511
2025-01-01 00:35:00,1.0059603,1.0030247,1.0006701
2025-01-01 00:36:00,1.0063411,1.0030394,1.0003656
