index,variable_name
0,B_001:FR
1,B_015:FR
2,B_120:FR
3,B_198:FR
4,B_233:FR
5,B_273:FR
6,B_286:FR
7,B_302:FR
8,B_317:FR
9,B_329:FR
10,B_341:FR
11,C_001:SP_
12,C_002:SP_out
13,C_005:SP_
14,C_008:ST
15,C_014:SP_out
16,C_016:SP_out
17,C_017:ST
18,C_019:SP_out
19,C_021:SP_out
20,C_022:SP_out
21,C_023:SP_out
22,E_001:SNQ
23,E_018:SNQ
24,E_045:SNQ
25,E_066:SNQ
26,E_082:SNQ
27,E_097:SNQ
28,E_101:SNQ
29,E_109:SNQ
30,E_112:SNQ
31,E_119:SNQ
32,E_120:SNQ
33,R_001:SPD
34,R_004:SPD
35,R_005:ST
36,R_006:ST
37,R_007:SPD
38,R_008:SPD
39,R_010:SPD
40,T_001:SNQ
41,T_002:SNQ
42,T_003:SNQ
43,T_004:SNQ
44,T_005:SNQ
45,T_005:SP
46,T_006:SNQ
47,T_007:SNQ
48,T_999:BC000
49,T_999:BC001
50,T_999:BC002
51,T_999:BC003
52,T_999:BC004
53,T_999:BC005
54,T_999:BC006
55,T_999:BC007
56,T_999:BC008
57,T_999:BC009
58,T_999:BC010
59,T_999:BC011
60,T_999:BC012
61,T_999:BC013
62,T_999:BC014
63,T_999:BC015
64,T_999:BC016
65,T_999:BC017
66,T_999:BC018
67,T_999:BC019
68,T_999:BC020
69,T_999:BC021
70,T_999:BC022
71,T_999:BC023
72,T_999:BC024
73,T_999:BC025
74,T_999:BC026
75,T_999:BC027
76,T_999:BC028
77,T_999:BC029
78,T_999:BC030
79,T_999:BC031
80,T_999:BC032
81,T_999:BC033
82,T_999:BC034
83,T_999:BC035
84,T_999:BC036
85,T_999:BC037
86,T_999:BC038
87,T_999:BC039
88,T_999:BC040
89,T_999:BC041
90,T_999:BC042
91,T_999:BC043
92,T_999:BC044
93,T_999:BC045
94,T_999:BC046
95,T_999:BC047
96,T_999:BC048
97,T_999:BC049
98,T_999:BC050
99,T_999:BC051
100,T_999:BC052
101,T_999:BC053
102,T_999:BC054
103,T_999:BC055
104,T_999:BC056
105,T_999:BC057
106,T_999:BC058
107,T_999:BC059
108,T_999:BC060
109,T_999:BC061
110,T_999:BC062
111,T_999:BC063
112,T_999:BC064
113,T_999:BC065
114,T_999:BC066
115,T_999:BC067
116,T_999:BC068
117,T_999:BC069
118,T_999:BC070
119,T_999:BC071
120,T_999:BC072
121,T_999:BC073
122,T_999:BC074
123,T_999:BC075
124,T_999:BC076
125,T_999:BC077
126,T_999:BC078
127,T_999:BC079
128,T_999:BC080
129,T_999:BC081
130,T_999:BC082
131,T_999:BC083
132,T_999:BC084
133,T_999:BC085
134,T_999:BC086
135,T_999:BC087
136,T_999:BC088
137,T_999:BC089
138,T_999:BC090
139,T_999:BC091
140,T_999:BC092
141,T_999:BC093
142,T_999:BC094
143,T_999:BC095
144,T_999:BC096
145,T_999:BC097
146,T_999:BC098
147,T_999:BC099
148,T_999:BC100
149,T_999:BC101
150,T_999:BC102
151,T_999:BC103
152,T_999:BC104
153,T_999:BC105
154,T_999:BC106
155,T_999:BC107
156,T_999:BC108
157,T_999:BC109
158,T_999:BC110
159,T_999:BC111
160,T_999:BC112
161,T_999:BC113
162,T_999:BC114
163,T_999:BC115
164,T_999:BC116
165,T_999:BC117
166,T_999:BC118
167,T_999:BC119
168,T_999:BC120
169,T_999:BC121
170,T_999:BC122
171,T_999:BC123
172,T_999:BC124
173,T_999:BC125
174,T_999:BC126
175,T_999:BC127
176,T_999:BC128
177,T_999:BC129
178,T_999:BC130
179,T_999:BC131
180,T_999:BC132
181,T_999:BC133
182,T_999:BC134
183,T_999:BC135
184,T_999:BC136
185,T_999:BC137
186,T_999:BC138
187,T_999:BC139
188,T_999:BC140
189,T_999:BC141
190,T_999:BC142
191,T_999:BC143
192,T_999:BC144
193,T_999:BC145
194,T_999:BC146
195,T_999:BC147
196,T_999:BC148
197,T_999:BC149
198,T_999:BC150
199,T_999:BC151
200,T_999:BC152
201,T_999:BC153
202,T_999:BC154
203,T_999:BC155
204,T_999:BC156
205,T_999:BC157
206,T_999:BC158
207,T_999:BC159
208,T_999:BC160
209,T_999:BC161
210,T_999:BC162
