variable_index,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28
0,B_001:FR,B_001_v000,B_001_v001,P_001_v000,P_001_v001,B_001:FR,B_001:FR,B_001:FR,B_001:FR,B_001:FR,B_001:FR,B_001:FR,B_001:FR,B_001:FR,B_001:FR,B_001:FR,B_001:FR,B_001:FR,B_001:FR,B_001:FR,B_001:FR,B_001:FR,B_001:FR,B_001:FR,B_001:FR,B_001:FR,B_001:FR,B_001:FR,B_001:FR
1,B_015:FR,B_015_v000,B_015_v001,P_002_v000,P_002_v001,B_015:FR,B_015:FR,B_015:FR,B_015:FR,B_015:FR,B_015:FR,B_015:FR,B_015:FR,B_015:FR,B_015:FR,B_015:FR,B_015:FR,B_015:FR,B_015:FR,B_015:FR,B_015:FR,B_015:FR,B_015:FR,B_015:FR,B_015:FR,B_015:FR,B_015:FR,B_015:FR,B_015:FR
2,B_120:FR,B_120_v000,B_120_v001,P_001_v000,P_001_v001,B_120:FR,B_120:FR,B_120:FR,B_120:FR,B_120:FR,B_120:FR,B_120:FR,B_120:FR,B_120:FR,B_120:FR,B_120:FR,B_120:FR,B_120:FR,B_120:FR,B_120:FR,B_120:FR,B_120:FR,B_120:FR,B_120:FR,B_120:FR,B_120:FR,B_120:FR,B_120:FR,B_120:FR
3,B_198:FR,B_198_v000,B_198_v001,P_002_v000,P_002_v001,B_198:FR,B_198:FR,B_198:FR,B_198:FR,B_198:FR,B_198:FR,B_198:FR,B_198:FR,B_198:FR,B_198:FR,B_198:FR,B_198:FR,B_198:FR,B_198:FR,B_198:FR,B_198:FR,B_198:FR,B_198:FR,B_198:FR,B_198:FR,B_198:FR,B_198:FR,B_198:FR,B_198:FR
4,B_233:FR,B_233_v000,B_233_v001,P_001_v000,P_001_v001,B_233:FR,B_233:FR,B_233:FR,B_233:FR,B_233:FR,B_233:FR,B_233:FR,B_233:FR,B_233:FR,B_233:FR,B_233:FR,B_233:FR,B_233:FR,B_233:FR,B_233:FR,B_233:FR,B_233:FR,B_233:FR,B_233:FR,B_233:FR,B_233:FR,B_233:FR,B_233:FR,B_233:FR
5,B_273:FR,B_273_v000,B_273_v001,P_002_v000,P_002_v001,B_273:FR,B_273:FR,B_273:FR,B_273:FR,B_273:FR,B_273:FR,B_273:FR,B_273:FR,B_273:FR,B_273:FR,B_273:FR,B_273:FR,B_273:FR,B_273:FR,B_273:FR,B_273:FR,B_273:FR,B_273:FR,B_273:FR,B_273:FR,B_273:FR,B_273:FR,B_273:FR,B_273:FR
6,B_286:FR,B_286_v000,B_286_v001,P_001_v000,P_001_v001,B_286:FR,B_286:FR,B_286:FR,B_286:FR,B_286:FR,B_286:FR,B_286:FR,B_286:FR,B_286:FR,B_286:FR,B_286:FR,B_286:FR,B_286:FR,B_286:FR,B_286:FR,B_286:FR,B_286:FR,B_286:FR,B_286:FR,B_286:FR,B_286:FR,B_286:FR,B_286:FR,B_286:FR
7,B_302:FR,B_302_v000,B_302_v001,P_002_v000,P_002_v001,B_302:FR,B_302:FR,B_302:FR,B_302:FR,B_302:FR,B_302:FR,B_302:FR,B_302:FR,B_302:FR,B_302:FR,B_302:FR,B_302:FR,B_302:FR,B_302:FR,B_302:FR,B_302:FR,B_302:FR,B_302:FR,B_302:FR,B_302:FR,B_302:FR,B_302:FR,B_302:FR,B_302:FR
8,B_317:FR,B_317_v000,B_317_v001,P_001_v000,P_001_v001,B_317:FR,B_317:FR,B_317:FR,B_317:FR,B_317:FR,B_317:FR,B_317:FR,B_317:FR,B_317:FR,B_317:FR,B_317:FR,B_317:FR,B_317:FR,B_317:FR,B_317:FR,B_317:FR,B_317:FR,B_317:FR,B_317:FR,B_317:FR,B_317:FR,B_317:FR,B_317:FR,B_317:FR
9,B_329:FR,B_329_v000,B_329_v001,P_002_v000,P_002_v001,B_329:FR,B_329:FR,B_329:FR,B_329:FR,B_329:FR,B_329:FR,B_329:FR,B_329:FR,B_329:FR,B_329:FR,B_329:FR,B_329:FR,B_329:FR,B_329:FR,B_329:FR,B_329:FR,B_329:FR,B_329:FR,B_329:FR,B_329:FR,B_329:FR,B_329:FR,B_329:FR,B_329:FR
10,B_341:FR,B_341_v000,B_341_v001,P_001_v000,P_001_v001,B_341:FR,B_341:FR,B_341:FR,B_341:FR,B_341:FR,B_341:FR,B_341:FR,B_341:FR,B_341:FR,B_341:FR,B_341:FR,B_341:FR,B_341:FR,B_341:FR,B_341:FR,B_341:FR,B_341:FR,B_341:FR,B_341:FR,B_341:FR,B_341:FR,B_341:FR,B_341:FR,B_341:FR
11,C_001:SP_,C_001_v000,C_001_v001,C_001_v002,P_001_v000,P_001_v001,TE_001_v000,C_001:SP_,C_001:SP_,C_001:SP_,C_001:SP_,C_001:SP_,C_001:SP_,C_001:SP_,C_001:SP_,C_001:SP_,C_001:SP_,C_001:SP_,C_001:SP_,C_001:SP_,C_001:SP_,C_001:SP_,C_001:SP_,C_001:SP_,C_001:SP_,C_001:SP_,C_001:SP_,C_001:SP_,C_001:SP_
12,C_002:SP_out,C_002_v000,C_002_v001,C_002_v002,TE_002_v000,P_002_v000,P_002_v001,C_002:SP_out,C_002:SP_out,C_002:SP_out,C_002:SP_out,C_002:SP_out,C_002:SP_out,C_002:SP_out,C_002:SP_out,C_002:SP_out,C_002:SP_out,C_002:SP_out,C_002:SP_out,C_002:SP_out,C_002:SP_out,C_002:SP_out,C_002:SP_out,C_002:SP_out,C_002:SP_out,C_002:SP_out,C_002:SP_out,C_002:SP_out,C_002:SP_out
13,C_005:SP_,C_005_v000,C_005_v001,C_005_v002,TE_005_v000,P_001_v000,P_001_v001,C_005:SP_,C_005:SP_,C_005:SP_,C_005:SP_,C_005:SP_,C_005:SP_,C_005:SP_,C_005:SP_,C_005:SP_,C_005:SP_,C_005:SP_,C_005:SP_,C_005:SP_,C_005:SP_,C_005:SP_,C_005:SP_,C_005:SP_,C_005:SP_,C_005:SP_,C_005:SP_,C_005:SP_,C_005:SP_
14,C_008:ST,C_008_v000,C_008_v001,C_008_v002,TE_008_v000,P_002_v000,P_002_v001,C_008:ST,C_008:ST,C_008:ST,C_008:ST,C_008:ST,C_008:ST,C_008:ST,C_008:ST,C_008:ST,C_008:ST,C_008:ST,C_008:ST,C_008:ST,C_008:ST,C_008:ST,C_008:ST,C_008:ST,C_008:ST,C_008:ST,C_008:ST,C_008:ST,C_008:ST
15,C_014:SP_out,C_014_v000,C_014_v001,C_014_v002,TE_014_v000,P_001_v000,P_001_v001,C_014:SP_out,C_014:SP_out,C_014:SP_out,C_014:SP_out,C_014:SP_out,C_014:SP_out,C_014:SP_out,C_014:SP_out,C_014:SP_out,C_014:SP_out,C_014:SP_out,C_014:SP_out,C_014:SP_out,C_014:SP_out,C_014:SP_out,C_014:SP_out,C_014:SP_out,C_014:SP_out,C_014:SP_out,C_014:SP_out,C_014:SP_out,C_014:SP_out
16,C_016:SP_out,C_016_v000,C_016_v001,C_016_v002,TE_016_v000,P_002_v000,P_002_v001,C_016:SP_out,C_016:SP_out,C_016:SP_out,C_016:SP_out,C_016:SP_out,C_016:SP_out,C_016:SP_out,C_016:SP_out,C_016:SP_out,C_016:SP_out,C_016:SP_out,C_016:SP_out,C_016:SP_out,C_016:SP_out,C_016:SP_out,C_016:SP_out,C_016:SP_out,C_016:SP_out,C_016:SP_out,C_016:SP_out,C_016:SP_out,C_016:SP_out
17,C_017:ST,C_017_v000,C_017_v001,C_017_v002,TE_017_v000,P_001_v000,P_001_v001,C_017:ST,C_017:ST,C_017:ST,C_017:ST,C_017:ST,C_017:ST,C_017:ST,C_017:ST,C_017:ST,C_017:ST,C_017:ST,C_017:ST,C_017:ST,C_017:ST,C_017:ST,C_017:ST,C_017:ST,C_017:ST,C_017:ST,C_017:ST,C_017:ST,C_017:ST
