index,variable_name,global_index
0,B_001:FR,0
1,B_015:FR,1
2,B_120:FR,2
3,B_198:FR,3
4,B_233:FR,4
5,B_273:FR,5
6,B_286:FR,6
7,B_302:FR,7
8,B_317:FR,8
9,B_329:FR,9
10,B_341:FR,10
11,C_001:SP_,11
12,C_002:SP_out,12
13,C_005:SP_,13
14,C_008:ST,14
15,C_014:SP_out,15
16,C_016:SP_out,16
17,C_017:ST,17
18,C_019:SP_out,18
19,C_021:SP_out,19
20,C_022:SP_out,20
21,C_023:SP_out,21
22,E_001:SNQ,22
23,E_018:SNQ,23
24,E_045:SNQ,24
25,E_066:SNQ,25
26,E_082:SNQ,26
27,E_097:SNQ,27
28,E_101:SNQ,28
29,E_109:SNQ,29
30,E_112:SNQ,30
31,E_119:SNQ,31
32,E_120:SNQ,32
33,R_001:SPD,33
34,R_004:SPD,34
35,R_005:ST,35
36,R_006:ST,36
37,R_007:SPD,37
38,R_008:SPD,38
39,R_010:SPD,39
40,T_001:SNQ,40
41,T_002:SNQ,41
42,T_003:SNQ,42
43,T_004:SNQ,43
44,T_005:SNQ,44
45,T_005:SP,45
46,T_006:SNQ,46
47,T_007:SNQ,47
48,N_001_v000,538
49,N_002_v000,539
50,N_003_v000,540
51,P_001_v000,541
52,P_001_v001,542
53,P_002_v000,543
54,P_002_v001,544
55,B_001_v000,545
56,B_001_v001,546
57,B_015_v000,547
58,B_015_v001,548
59,B_120_v000,549
60,B_120_v001,550
61,B_198_v000,551
62,B_198_v001,552
63,B_233_v000,553
64,B_233_v001,554
65,B_273_v000,555
66,B_273_v001,556
67,B_286_v000,557
68,B_286_v001,558
69,B_302_v000,559
70,B_302_v001,560
71,B_317_v000,561
72,B_317_v001,562
73,B_329_v000,563
74,B_329_v001,564
75,B_341_v000,565
76,B_341_v001,566
77,H_001_v000,567
78,H_002_v000,568
79,C_001_v000,569
80,C_001_v001,570
81,C_001_v002,571
82,TE_001_v000,572
83,C_002_v000,573
84,C_002_v001,574
85,C_002_v002,575
86,TE_002_v000,576
87,C_005_v000,577
88,C_005_v001,578
89,C_005_v002,579
90,TE_005_v000,580
91,C_008_v000,581
92,C_008_v001,582
93,C_008_v002,583
94,TE_008_v000,584
95,C_014_v000,585
96,C_014_v001,586
97,C_014_v002,587
98,TE_014_v000,588
99,C_016_v000,589
100,C_016_v001,590
101,C_016_v002,591
102,TE_016_v000,592
103,C_017_v000,593
104,C_017_v001,594
105,C_017_v002,595
106,TE_017_v000,596
107,C_019_v000,597
108,C_019_v001,598
109,C_019_v002,599
110,TE_019_v000,600
111,C_021_v000,601
112,C_021_v001,602
113,C_021_v002,603
114,TE_021_v000,604
115,C_022_v000,605
116,C_022_v001,606
117,C_022_v002,607
118,TE_022_v000,608
119,C_023_v000,609
120,C_023_v001,610
121,C_023_v002,611
122,TE_023_v000,612
123,R_001_v000,613
124,R_004_v000,614
125,R_005_v000,615
126,R_006_v000,616
127,R_007_v000,617
128,R_008_v000,618
129,R_010_v000,619
