variable_name,normalization_method,mean,std,min,max,q25,median,q75
B_001:FR,standard,0.782166,0.091337,0.600000,0.960000,0.714815,0.785002,0.850586
B_015:FR,standard,0.782561,0.093176,0.600000,1.081293,0.716237,0.782973,0.848251
B_120:FR,standard,0.782617,0.091007,0.600000,0.960000,0.716493,0.785998,0.850515
B_198:FR,standard,0.782310,0.092345,0.600000,1.011650,0.714252,0.783075,0.849116
B_233:FR,standard,0.782090,0.095006,0.554676,1.087797,0.715085,0.782384,0.849047
B_273:FR,standard,0.781051,0.091553,0.598936,0.960000,0.713950,0.782586,0.849663
B_286:FR,standard,0.780480,0.091154,0.600000,0.960000,0.712176,0.780233,0.847600
B_302:FR,standard,0.780190,0.092429,0.520026,0.959999,0.713512,0.781501,0.846717
B_317:FR,standard,0.780263,0.091343,0.600000,0.959999,0.712420,0.781173,0.846552
B_329:FR,standard,0.781030,0.093929,0.515634,0.999505,0.712678,0.780722,0.847281
B_341:FR,standard,0.781276,0.091182,0.600000,0.960000,0.712265,0.780380,0.849366
C_001:SP_,standard,1.001886,0.093514,0.820000,1.306933,0.931231,0.998268,1.067994
C_002:SP_out,standard,1.002305,0.091896,0.820000,1.180000,0.933361,1.001663,1.070187
C_005:SP_,standard,1.002400,0.093748,0.820000,1.295693,0.932197,0.999616,1.068438
C_008:ST,standard,0.867647,0.338874,0.000000,1.000000,1.000000,1.000000,2.000000
C_014:SP_out,standard,1.001618,0.092547,0.811507,1.180000,0.933177,1.000882,1.068669
C_016:SP_out,standard,1.000998,0.092657,0.820000,1.239124,0.931417,0.999172,1.067358
C_017:ST,standard,0.867647,0.338874,0.000000,1.000000,1.000000,1.000000,2.000000
C_019:SP_out,standard,1.000248,0.092405,0.776055,1.180000,0.931867,1.002782,1.068839
C_021:SP_out,standard,1.000732,0.095710,0.664729,1.230101,0.932426,1.004013,1.068854
C_022:SP_out,standard,1.000825,0.092312,0.770880,1.180000,0.932992,1.003695,1.070674
C_023:SP_out,standard,1.001473,0.092599,0.820000,1.253058,0.931930,1.001453,1.070019
E_001:SNQ,standard,0.952846,0.119591,0.720001,1.365824,0.868485,0.952988,1.035773
E_018:SNQ,standard,0.953292,0.119426,0.720000,1.344101,0.870019,0.955140,1.035123
E_045:SNQ,standard,0.953401,0.118717,0.702213,1.295786,0.870012,0.956007,1.035857
E_066:SNQ,standard,0.952639,0.115464,0.720000,1.217183,0.870152,0.953321,1.034876
E_082:SNQ,standard,0.952097,0.114681,0.720000,1.179999,0.870072,0.953535,1.034520
E_097:SNQ,standard,0.951442,0.114577,0.720000,1.180000,0.870052,0.955687,1.032376
E_101:SNQ,standard,0.950879,0.115193,0.708089,1.180000,0.870005,0.953765,1.032891
E_109:SNQ,standard,0.951084,0.118239,0.656096,1.226415,0.869646,0.954064,1.034274
E_112:SNQ,standard,0.951140,0.118141,0.624308,1.180000,0.870081,0.955168,1.035180
E_119:SNQ,standard,0.951525,0.117923,0.610132,1.179999,0.869443,0.954199,1.036709
E_120:SNQ,standard,0.951605,0.114437,0.720001,1.180000,0.869799,0.950287,1.034977
R_001:SPD,standard,1.001972,0.092950,0.820000,1.244708,0.932713,1.001244,1.068207
R_004:SPD,standard,1.002733,0.097427,0.780199,1.403484,0.932750,1.001970,1.067512
R_005:ST,standard,0.852941,0.354165,0.000000,1.000000,1.000000,1.000000,2.000000
R_006:ST,standard,0.838235,0.368235,0.000000,1.000000,1.000000,1.000000,2.000000
R_007:SPD,standard,1.001619,0.092140,0.773164,1.180000,0.933051,1.002355,1.069686
R_008:SPD,standard,1.000963,0.092593,0.817284,1.181601,0.931699,0.998558,1.068267
R_010:SPD,standard,1.000768,0.096040,0.668587,1.253666,0.933081,0.999854,1.068766
T_001:SNQ,standard,0.994673,0.131362,0.740000,1.259999,0.889425,0.991028,1.100996
T_002:SNQ,standard,0.994759,0.130705,0.740000,1.260000,0.888705,0.989612,1.100045
T_003:SNQ,standard,0.995186,0.131714,0.673387,1.260000,0.892728,0.994528,1.100515
T_004:SNQ,standard,0.995824,0.131282,0.740001,1.260000,0.890225,0.995587,1.102118
T_005:SNQ,standard,0.996477,0.132326,0.740000,1.315584,0.892134,0.993014,1.100558
T_005:SP,standard,1.002403,0.092681,0.820001,1.222852,0.932752,1.003258,1.068777
T_006:SNQ,standard,0.997093,0.131072,0.740000,1.260000,0.894062,0.998328,1.102446
T_007:SNQ,standard,0.996878,0.132318,0.740001,1.278661,0.893478,0.994436,1.102117
N_001_v000,standard,1.014517,0.190637,0.597903,1.456649,0.883085,1.006584,1.147975
N_002_v000,standard,1.017669,0.233079,0.464696,1.591468,0.855516,1.008094,1.183782
N_003_v000,standard,1.013807,0.180869,0.567429,1.475947,0.888282,1.006829,1.143257
P_001_v000,standard,1.021667,0.281114,0.414178,1.642306,0.827110,1.008978,1.217391
P_001_v001,standard,0.897051,0.127611,0.597985,1.248855,0.805546,0.898421,0.985702
P_002_v000,standard,1.019587,0.262715,0.352643,1.726811,0.836205,1.009224,1.206974
P_002_v001,standard,0.896410,0.140497,0.607188,1.259169,0.799239,0.897441,0.994943
B_001_v000,standard,0.798274,0.147568,0.442651,1.138402,0.694206,0.799127,0.902070
B_001_v001,standard,0.895938,0.108021,0.655409,1.175689,0.820160,0.897780,0.971489
B_015_v000,standard,0.798582,0.154309,0.460022,1.137435,0.690305,0.799946,0.906424
B_015_v001,standard,0.896587,0.110531,0.661608,1.168401,0.819111,0.897551,0.975714
B_120_v000,standard,0.799059,0.161107,0.460076,1.155058,0.687336,0.799446,0.911356
B_120_v001,standard,0.897450,0.106457,0.662454,1.173664,0.821486,0.897985,0.973400
B_198_v000,standard,0.799269,0.164877,0.459550,1.151367,0.684950,0.800378,0.914369
B_198_v001,standard,0.897125,0.114113,0.658255,1.174972,0.817773,0.897897,0.978246
B_233_v000,standard,0.800769,0.169281,0.441476,1.157409,0.683134,0.801082,0.915958
B_233_v001,standard,0.897980,0.109696,0.667583,1.186807,0.819337,0.898819,0.974903
B_273_v000,standard,0.800442,0.161399,0.467000,1.136420,0.686445,0.800640,0.911387
B_273_v001,standard,0.897787,0.111684,0.666668,1.184957,0.819465,0.898290,0.975889
B_286_v000,standard,0.801095,0.169986,0.447274,1.157042,0.684047,0.801574,0.916119
B_286_v001,standard,0.898169,0.103510,0.672517,1.171584,0.824699,0.898432,0.969411
B_302_v000,standard,0.801338,0.153862,0.484508,1.127851,0.694928,0.800722,0.907388
B_302_v001,standard,0.898627,0.104020,0.682656,1.174774,0.824410,0.899091,0.970426
B_317_v000,standard,0.802044,0.159667,0.457339,1.133770,0.691921,0.801205,0.913680
B_317_v001,standard,0.899753,0.102217,0.677901,1.174219,0.827253,0.899923,0.969172
B_329_v000,standard,0.803601,0.158263,0.471315,1.172823,0.693792,0.801499,0.913408
B_329_v001,standard,0.899626,0.098613,0.694347,1.173162,0.830200,0.899002,0.967181
B_341_v000,standard,0.803761,0.150326,0.480506,1.162749,0.699464,0.802516,0.908117
B_341_v001,standard,0.900392,0.089985,0.699373,1.154644,0.838340,0.900031,0.961973
H_001_v000,standard,1.058355,0.127657,0.783484,1.330286,0.970142,1.054235,1.148338
H_002_v000,standard,1.057987,0.120364,0.794974,1.346631,0.975342,1.054412,1.142549
C_001_v000,standard,0.849796,0.047614,0.600073,1.120175,0.838303,0.848421,0.858982
C_001_v001,standard,0.951231,0.054182,0.783347,1.195788,0.915275,0.949582,0.983601
C_001_v002,standard,1.008186,0.101707,0.598791,1.372756,0.947533,1.005425,1.076564
TE_001_v000,standard,0.751264,0.042419,0.548575,0.978971,0.732013,0.751321,0.770427
C_002_v000,standard,0.849445,0.042957,0.630224,1.083495,0.835074,0.848346,0.862081
C_002_v001,standard,0.952669,0.065514,0.729584,1.232080,0.907434,0.951833,0.996152
C_002_v002,standard,1.001783,0.051231,0.701925,1.291211,0.989729,1.002041,1.015226
TE_002_v000,standard,0.750602,0.041711,0.537788,0.983264,0.732366,0.749446,0.767418
C_005_v000,standard,0.850468,0.047574,0.621938,1.119125,0.832468,0.848712,0.865207
C_005_v001,standard,0.950823,0.060113,0.784113,1.222060,0.910340,0.949175,0.987321
C_005_v002,standard,1.008542,0.105884,0.583500,1.379395,0.943814,1.005014,1.080125
TE_005_v000,standard,0.751046,0.043152,0.561915,0.971655,0.728486,0.750256,0.771881
C_008_v000,standard,0.847695,0.090987,0.184577,1.567275,0.822933,0.846762,0.868767
C_008_v001,standard,0.949689,0.073227,0.492186,1.428530,0.913055,0.948235,0.983087
C_008_v002,standard,1.001676,0.097481,0.236640,1.734323,0.989569,1.001808,1.014173
TE_008_v000,standard,0.748687,0.066683,0.269722,1.272523,0.728205,0.746946,0.765924
C_014_v000,standard,0.849383,0.052215,0.601009,1.152384,0.825923,0.847519,0.868421
C_014_v001,standard,0.951077,0.073556,0.772843,1.247687,0.899871,0.949622,0.997579
C_014_v002,standard,1.003972,0.066115,0.664930,1.315225,0.975235,1.003854,1.038354
TE_014_v000,standard,0.750585,0.046594,0.552186,0.999808,0.724844,0.749103,0.773404
C_016_v000,standard,0.848203,0.054351,0.592759,1.155642,0.820925,0.847594,0.870924
C_016_v001,standard,0.950809,0.083359,0.729937,1.247387,0.891723,0.949318,1.007212
C_016_v002,standard,1.001615,0.052434,0.703884,1.296469,0.989221,1.001598,1.015258
TE_016_v000,standard,0.749514,0.048761,0.540053,1.003464,0.723095,0.748155,0.773173
C_017_v000,standard,0.847596,0.082989,0.244258,1.486364,0.824296,0.846954,0.868009
C_017_v001,standard,0.949252,0.071202,0.523882,1.456289,0.914052,0.948327,0.980936
C_017_v002,standard,1.004560,0.105643,0.227846,1.755727,0.972702,1.004353,1.041532
TE_017_v000,standard,0.749550,0.071738,0.212080,1.326633,0.731298,0.748584,0.765013
C_019_v000,standard,0.847560,0.057541,0.594666,1.150214,0.815563,0.846925,0.874486
C_019_v001,standard,0.949550,0.082392,0.726757,1.234699,0.892431,0.948103,1.004615
C_019_v002,standard,1.001583,0.056796,0.660461,1.352929,0.988917,1.002022,1.015949
TE_019_v000,standard,0.748396,0.048797,0.537093,0.998282,0.719785,0.747400,0.773067
C_021_v000,standard,0.847714,0.056637,0.606025,1.157429,0.816641,0.846698,0.873643
C_021_v001,standard,0.949214,0.077888,0.776051,1.258462,0.895437,0.947905,0.996961
C_021_v002,standard,1.004092,0.067419,0.630008,1.350387,0.975944,1.004176,1.036781
TE_021_v000,standard,0.749115,0.050106,0.574167,1.002621,0.717642,0.747469,0.775474
C_022_v000,standard,0.846811,0.060653,0.620991,1.160039,0.809453,0.845493,0.878245
C_022_v001,standard,0.948365,0.080856,0.766181,1.230409,0.891634,0.946600,1.002822
C_022_v002,standard,1.001151,0.055107,0.671880,1.331551,0.990783,1.001935,1.013367
TE_022_v000,standard,0.748171,0.051415,0.546474,0.990299,0.716099,0.746991,0.775994
C_023_v000,standard,0.847526,0.059609,0.596946,1.170857,0.813649,0.846480,0.876278
C_023_v001,standard,0.948416,0.077213,0.772422,1.263424,0.895420,0.946942,0.996362
C_023_v002,standard,1.004497,0.066738,0.681685,1.312024,0.972488,1.003840,1.040488
TE_023_v000,standard,0.748660,0.049279,0.572407,1.008864,0.718863,0.746950,0.773473
R_001_v000,standard,0.906353,0.119513,0.407708,1.199007,0.834367,0.905568,0.990157
R_004_v000,standard,0.906799,0.119008,0.394118,1.300614,0.836619,0.905083,0.988689
R_005_v000,standard,0.905435,0.133944,-0.109552,1.785723,0.854849,0.904693,0.963177
R_006_v000,standard,0.904598,0.118022,0.029489,1.734571,0.864964,0.904916,0.952072
R_007_v000,standard,0.908685,0.121783,0.407603,1.239594,0.831291,0.906849,0.994215
R_008_v000,standard,0.908095,0.112694,0.432309,1.288614,0.837014,0.906177,0.986969
R_010_v000,standard,0.908316,0.114972,0.439221,1.239470,0.833919,0.905524,0.989421
