node,connected_node
N_001,N_002
N_002,N_003
N_001,P_001
N_002,P_001
N_002,P_002
N_003,P_002
P_001,T_001
P_002,T_002
P_001,T_003
P_002,T_004
P_001,T_005
P_002,T_006
P_001,T_007
E_001,P_001
E_018,P_002
E_045,P_001
E_066,P_002
E_082,P_001
E_097,P_002
E_101,P_001
E_109,P_002
E_112,P_001
E_119,P_002
E_120,P_001
B_001,P_001
B_015,P_002
B_120,P_001
B_198,P_002
B_233,P_001
B_273,P_002
B_286,P_001
B_302,P_002
B_317,P_001
B_329,P_002
B_341,P_001
C_001,P_001
C_002,P_002
C_005,P_001
C_008,P_002
C_014,P_001
C_016,P_002
C_017,P_001
C_019,P_002
C_021,P_001
C_022,P_002
C_023,P_001
P_001,R_001
P_002,R_004
P_001,R_005
P_002,R_006
P_001,R_007
P_002,R_008
P_001,R_010
H_001,P_001
H_002,P_002
C_001,TE_001
C_002,TE_002
C_005,TE_005
C_008,TE_008
C_014,TE_014
C_016,TE_016
C_017,TE_017
C_019,TE_019
C_021,TE_021
C_022,TE_022
C_023,TE_023
