token_id,variable_index,variable_name,token_type,value_average,value_median,range_start,range_end,count,probability,variable_sample_count,is_constant,is_binary,variable_group,duplicate_of
0,0,B_001:FR,range,0.6271722525,0.6256987453,0.6000002623,0.6559122791,19577,0.1000337244,195704,False,False,boundary,
1,0,B_001:FR,range,0.6776650753,0.6758406758,0.6559122801,0.7007767548,19577,0.1000337244,195704,False,False,boundary,
2,0,B_001:FR,range,0.7146428372,0.7141245008,0.7007767558,0.7317680707,19580,0.1000490537,195704,False,False,boundary,
3,0,B_001:FR,range,0.7464691202,0.7488666773,0.7317680717,0.7562131276,19577,0.1000337244,195704,False,False,boundary,
4,0,B_001:FR,range,0.7673045350,0.7656572461,0.7562131286,0.7831730833,19573,0.1000132854,195704,False,False,boundary,
5,0,B_001:FR,range,0.7975603985,0.8000176549,0.7831730843,0.8068268885,19576,0.1000286146,195704,False,False,boundary,
6,0,B_001:FR,range,0.8178550692,0.8165684938,0.8068268895,0.8340052356,19579,0.1000439439,195704,False,False,boundary,
7,0,B_001:FR,range,0.8493782967,0.8502190113,0.8340052366,0.8613747348,19574,0.1000183951,195704,False,False,boundary,
8,0,B_001:FR,range,0.8877203195,0.8893030286,0.8613747358,0.9082770934,19546,0.0998753219,195704,False,False,boundary,
9,0,B_001:FR,range,0.9363275739,0.9381458163,0.9082770944,0.9599999785,19545,0.0998702122,195704,False,False,boundary,
10,1,B_015:FR,range,0.6270868134,0.6255462766,0.6000002027,0.6556054344,19576,0.1000286146,195704,False,False,boundary,
11,1,B_015:FR,range,0.6793506729,0.6786739826,0.6556054354,0.7013998618,19578,0.1000388342,195704,False,False,boundary,
12,1,B_015:FR,range,0.7153936699,0.7146951556,0.7013998628,0.7322603454,19581,0.1000541634,195704,False,False,boundary,
13,1,B_015:FR,range,0.7466628120,0.7490771413,0.7322603464,0.7562500824,19573,0.1000132854,195704,False,False,boundary,
14,1,B_015:FR,range,0.7662090557,0.7650113106,0.7562500834,0.7808346142,19578,0.1000388342,195704,False,False,boundary,
15,1,B_015:FR,range,0.7958714374,0.7982010841,0.7808346152,0.8056333651,19579,0.1000439439,195704,False,False,boundary,
16,1,B_015:FR,range,0.8159701774,0.8144298792,0.8056333661,0.8314866414,19571,0.1000030659,195704,False,False,boundary,
17,1,B_015:FR,range,0.8476263339,0.8483822942,0.8314866424,0.8598456969,19577,0.1000337244,195704,False,False,boundary,
18,1,B_015:FR,range,0.8851342908,0.8864576221,0.8598456979,0.9075391879,19546,0.0998753219,195704,False,False,boundary,
19,1,B_015:FR,range,0.9467498068,0.9424039721,0.9075391889,1.0812925100,19545,0.0998702122,195704,False,False,boundary,
20,2,B_120:FR,range,0.6275417470,0.6273450851,0.6000000834,0.6542961587,19635,0.1003300903,195704,False,False,boundary,
21,2,B_120:FR,range,0.6786459833,0.6780837178,0.6542961597,0.7013620128,19577,0.1000337244,195704,False,False,boundary,
22,2,B_120:FR,range,0.7156114427,0.7147653103,0.7013620138,0.7328500738,19579,0.1000439439,195704,False,False,boundary,
23,2,B_120:FR,range,0.7473326010,0.7500015497,0.7328500748,0.7567780008,19578,0.1000388342,195704,False,False,boundary,
24,2,B_120:FR,range,0.7683627599,0.7671357393,0.7567780018,0.7847480764,19575,0.1000235049,195704,False,False,boundary,
25,2,B_120:FR,range,0.7983516993,0.8002425432,0.7847480774,0.8072750558,19637,0.1003403099,195704,False,False,boundary,
26,2,B_120:FR,range,0.8186617007,0.8176094294,0.8072750568,0.8348410120,19547,0.0998804317,195704,False,False,boundary,
27,2,B_120:FR,range,0.8497680399,0.8508502841,0.8348410130,0.8615167727,19545,0.0998702122,195704,False,False,boundary,
28,2,B_120:FR,range,0.8878310143,0.8893491626,0.8615167737,0.9082207074,19543,0.0998599926,195704,False,False,boundary,
29,2,B_120:FR,range,0.9355242258,0.9378129244,0.9082207084,0.9599999189,19488,0.0995789560,195704,False,False,boundary,
30,3,B_198:FR,range,0.6270524319,0.6254848838,0.6000000238,0.6554294219,19577,0.1000337244,195704,False,False,boundary,
31,3,B_198:FR,range,0.6792790408,0.6787602901,0.6554294229,0.7014806261,19578,0.1000388342,195704,False,False,boundary,
32,3,B_198:FR,range,0.7139368987,0.7125449777,0.7014806271,0.7302317609,19577,0.1000337244,195704,False,False,boundary,
33,3,B_198:FR,range,0.7454241695,0.7476441264,0.7302317619,0.7556221475,19576,0.1000286146,195704,False,False,boundary,
34,3,B_198:FR,range,0.7663890412,0.7647191882,0.7556221485,0.7822917690,19607,0.1001870171,195704,False,False,boundary,
35,3,B_198:FR,range,0.7967659487,0.7994560599,0.7822917700,0.8062134971,19577,0.1000337244,195704,False,False,boundary,
36,3,B_198:FR,range,0.8168838355,0.8153705001,0.8062134981,0.8325822343,19575,0.1000235049,195704,False,False,boundary,
37,3,B_198:FR,range,0.8485948651,0.8494260311,0.8325822353,0.8601070036,19723,0.1007797490,195704,False,False,boundary,
38,3,B_198:FR,range,0.8871394806,0.8885639310,0.8601070046,0.9081975212,19458,0.0994256632,195704,False,False,boundary,
39,3,B_198:FR,range,0.9427996108,0.9438390732,0.9081975222,1.0116500854,19456,0.0994154437,195704,False,False,boundary,
40,4,B_233:FR,range,0.6208535613,0.6201637387,0.5546762943,0.6540153017,19576,0.1000286146,195704,False,False,boundary,
41,4,B_233:FR,range,0.6775011361,0.6766025424,0.6540153027,0.7008429756,19575,0.1000235049,195704,False,False,boundary,
42,4,B_233:FR,range,0.7145003893,0.7138060927,0.7008429766,0.7311189165,19605,0.1001767976,195704,False,False,boundary,
43,4,B_233:FR,range,0.7461673154,0.7487084270,0.7311189175,0.7559819808,19581,0.1000541634,195704,False,False,boundary,
44,4,B_233:FR,range,0.7669623134,0.7656061053,0.7559819818,0.7829384198,19579,0.1000439439,195704,False,False,boundary,
45,4,B_233:FR,range,0.7969373280,0.7995631695,0.7829384208,0.8062407364,19572,0.1000081756,195704,False,False,boundary,
46,4,B_233:FR,range,0.8169882387,0.8155735731,0.8062407374,0.8329880824,19578,0.1000388342,195704,False,False,boundary,
47,4,B_233:FR,range,0.8484965199,0.8492563963,0.8329880834,0.8599502434,19575,0.1000235049,195704,False,False,boundary,
48,4,B_233:FR,range,0.8860354294,0.8875449300,0.8599502444,0.9078252306,19548,0.0998855414,195704,False,False,boundary,
49,4,B_233:FR,range,0.9472274980,0.9426785111,0.9078252316,1.0877972841,19515,0.0997169194,195704,False,False,boundary,
50,5,B_273:FR,range,0.6230373913,0.6186891198,0.5989363194,0.6534373750,19577,0.1000337244,195704,False,False,boundary,
51,5,B_273:FR,range,0.6767910246,0.6758976281,0.6534373760,0.7007475485,19606,0.1001819074,195704,False,False,boundary,
52,5,B_273:FR,range,0.7144264904,0.7136895657,0.7007475495,0.7318338146,19578,0.1000388342,195704,False,False,boundary,
53,5,B_273:FR,range,0.7463323519,0.7488225698,0.7318338156,0.7560631027,19573,0.1000132854,195704,False,False,boundary,
54,5,B_273:FR,range,0.7671723038,0.7656601369,0.7560631037,0.7834281911,19608,0.1001921269,195704,False,False,boundary,
55,5,B_273:FR,range,0.7975746590,0.8000186682,0.7834281921,0.8067544093,19606,0.1001819074,195704,False,False,boundary,
56,5,B_273:FR,range,0.8178311787,0.8164162636,0.8067544103,0.8339154114,19547,0.0998804317,195704,False,False,boundary,
57,5,B_273:FR,range,0.8489979874,0.8504467010,0.8339154124,0.8598271002,19639,0.1003505294,195704,False,False,boundary,
58,5,B_273:FR,range,0.8844226997,0.8854079247,0.8598271012,0.9066355814,19516,0.0997220292,195704,False,False,boundary,
59,5,B_273:FR,range,0.9352039915,0.9380143285,0.9066355824,0.9599998593,19454,0.0994052242,195704,False,False,boundary,
60,6,B_286:FR,range,0.6267773464,0.6254394054,0.6000002623,0.6531434645,19575,0.1000235049,195704,False,False,boundary,
61,6,B_286:FR,range,0.6759051904,0.6748548150,0.6531434655,0.7003408660,19635,0.1003300903,195704,False,False,boundary,
62,6,B_286:FR,range,0.7130559222,0.7123141289,0.7003408670,0.7294827690,19577,0.1000337244,195704,False,False,boundary,
63,6,B_286:FR,range,0.7448169004,0.7469373941,0.7294827700,0.7550992956,19640,0.1003556391,195704,False,False,boundary,
64,6,B_286:FR,range,0.7654990430,0.7635912299,0.7550992966,0.7811338892,19577,0.1000337244,195704,False,False,boundary,
65,6,B_286:FR,range,0.7958340773,0.7980132699,0.7811338902,0.8056287756,19545,0.0998702122,195704,False,False,boundary,
66,6,B_286:FR,range,0.8159961835,0.8142502904,0.8056287766,0.8315365901,19546,0.0998753219,195704,False,False,boundary,
67,6,B_286:FR,range,0.8476159521,0.8483563662,0.8315365911,0.8598184576,19635,0.1003300903,195704,False,False,boundary,
68,6,B_286:FR,range,0.8852277918,0.8863667846,0.8598184586,0.9074610462,19487,0.0995738462,195704,False,False,boundary,
69,6,B_286:FR,range,0.9355608998,0.9364567995,0.9074610472,0.9599997997,19487,0.0995738462,195704,False,False,boundary,
70,7,B_302:FR,range,0.6183430346,0.6203571558,0.5200258493,0.6542731514,19576,0.1000286146,195704,False,False,boundary,
71,7,B_302:FR,range,0.6783931369,0.6777749062,0.6542731524,0.7013650527,19607,0.1001870171,195704,False,False,boundary,
72,7,B_302:FR,range,0.7147059515,0.7147424817,0.7013650537,0.7297794213,19574,0.1000183951,195704,False,False,boundary,
73,7,B_302:FR,range,0.7452415948,0.7474883199,0.7297794223,0.7553932657,19577,0.1000337244,195704,False,False,boundary,
74,7,B_302:FR,range,0.7662397923,0.7647064328,0.7553932667,0.7820392241,19604,0.1001716879,195704,False,False,boundary,
75,7,B_302:FR,range,0.7964837266,0.7988440394,0.7820392251,0.8060436239,19579,0.1000439439,195704,False,False,boundary,
76,7,B_302:FR,range,0.8165155698,0.8150225282,0.8060436249,0.8322085728,19550,0.0998957609,195704,False,False,boundary,
77,7,B_302:FR,range,0.8477088335,0.8486732244,0.8322085738,0.8598572006,19664,0.1004782733,195704,False,False,boundary,
78,7,B_302:FR,range,0.8843588845,0.8853214383,0.8598572016,0.9065508236,19515,0.0997169194,195704,False,False,boundary,
79,7,B_302:FR,range,0.9350816894,0.9384625554,0.9065508246,0.9599994421,19458,0.0994256632,195704,False,False,boundary,
80,8,B_317:FR,range,0.6237570456,0.6188143492,0.6000003219,0.6531864991,19575,0.1000235049,195704,False,False,boundary,
81,8,B_317:FR,range,0.6757796558,0.6745120287,0.6531865001,0.7003470649,19575,0.1000235049,195704,False,False,boundary,
82,8,B_317:FR,range,0.7133789190,0.7126781344,0.7003470659,0.7301067700,19574,0.1000183951,195704,False,False,boundary,
83,8,B_317:FR,range,0.7451923718,0.7473171949,0.7301067710,0.7554338564,19578,0.1000388342,195704,False,False,boundary,
84,8,B_317:FR,range,0.7661826606,0.7644571662,0.7554338574,0.7821807255,19581,0.1000541634,195704,False,False,boundary,
85,8,B_317:FR,range,0.7965849290,0.7989593148,0.7821807265,0.8060044636,19572,0.1000081756,195704,False,False,boundary,
86,8,B_317:FR,range,0.8166428996,0.8151165247,0.8060044646,0.8323743929,19578,0.1000388342,195704,False,False,boundary,
87,8,B_317:FR,range,0.8474444684,0.8471796513,0.8323743939,0.8594692339,19606,0.1001819074,195704,False,False,boundary,
88,8,B_317:FR,range,0.8832277770,0.8843322396,0.8594692349,0.9063514461,19576,0.1000286146,195704,False,False,boundary,
89,8,B_317:FR,range,0.9350063862,0.9375192523,0.9063514471,0.9599994421,19489,0.0995840657,195704,False,False,boundary,
90,9,B_329:FR,range,0.6180027351,0.6203860641,0.5156339407,0.6540748467,19576,0.1000286146,195704,False,False,boundary,
91,9,B_329:FR,range,0.6774411185,0.6763391495,0.6540748477,0.7008362998,19574,0.1000183951,195704,False,False,boundary,
92,9,B_329:FR,range,0.7143050285,0.7136317492,0.7008363008,0.7312823524,19576,0.1000286146,195704,False,False,boundary,
93,9,B_329:FR,range,0.7460074960,0.7483615875,0.7312823534,0.7559258928,19578,0.1000388342,195704,False,False,boundary,
94,9,B_329:FR,range,0.7667398142,0.7652842999,0.7559258938,0.7825117697,19575,0.1000235049,195704,False,False,boundary,
95,9,B_329:FR,range,0.7968092427,0.7992759943,0.7825117707,0.8061150302,19608,0.1001921269,195704,False,False,boundary,
96,9,B_329:FR,range,0.8168776965,0.8151482940,0.8061150312,0.8327149739,19606,0.1001819074,195704,False,False,boundary,
97,9,B_329:FR,range,0.8483375233,0.8491519094,0.8327149749,0.8599639525,19608,0.1001921269,195704,False,False,boundary,
98,9,B_329:FR,range,0.8859010167,0.8871256113,0.8599639535,0.9077068557,19516,0.0997220292,195704,False,False,boundary,
99,9,B_329:FR,range,0.9407235347,0.9422309995,0.9077068567,0.9995052814,19487,0.0995738462,195704,False,False,boundary,
100,10,B_341:FR,range,0.6253469459,0.6251901984,0.6000003815,0.6535369744,19576,0.1000286146,195704,False,False,boundary,
101,10,B_341:FR,range,0.6766876234,0.6760666966,0.6535369754,0.7006771554,19575,0.1000235049,195704,False,False,boundary,
102,10,B_341:FR,range,0.7142382413,0.7136079073,0.7006771564,0.7313162078,19574,0.1000183951,195704,False,False,boundary,
103,10,B_341:FR,range,0.7462377112,0.7489959598,0.7313162088,0.7560398569,19576,0.1000286146,195704,False,False,boundary,
104,10,B_341:FR,range,0.7669812323,0.7654589415,0.7560398579,0.7833446254,19578,0.1000388342,195704,False,False,boundary,
105,10,B_341:FR,range,0.7973273997,0.8000000715,0.7833446264,0.8066238751,19608,0.1001921269,195704,False,False,boundary,
106,10,B_341:FR,range,0.8176799686,0.8165467978,0.8066238761,0.8335384120,19572,0.1000081756,195704,False,False,boundary,
107,10,B_341:FR,range,0.8491321994,0.8500935435,0.8335384130,0.8609604826,19548,0.0998855414,195704,False,False,boundary,
108,10,B_341:FR,range,0.8846520596,0.8850980997,0.8609604836,0.9062563171,19548,0.0998855414,195704,False,False,boundary,
109,10,B_341:FR,range,0.9349012080,0.9378986955,0.9062563181,0.9599997401,19549,0.0998906512,195704,False,False,boundary,
110,11,C_001:SP_,range,0.8470100846,0.8452699184,0.8200002909,0.8752993335,19574,0.1000183951,195704,False,False,boundary,
111,11,C_001:SP_,range,0.8990784681,0.8986394405,0.8752993345,0.9203355302,19576,0.1000286146,195704,False,False,boundary,
112,11,C_001:SP_,range,0.9329332687,0.9320854545,0.9203355312,0.9493030300,19577,0.1000337244,195704,False,False,boundary,
113,11,C_001:SP_,range,0.9646418357,0.9666025043,0.9493030310,0.9749518623,19608,0.1001921269,195704,False,False,boundary,
114,11,C_001:SP_,range,0.9853495766,0.9834662080,0.9749518633,1.0007759323,19572,0.1000081756,195704,False,False,boundary,
115,11,C_001:SP_,range,1.0156220584,1.0178042650,1.0007759333,1.0254977932,19608,0.1001921269,195704,False,False,boundary,
116,11,C_001:SP_,range,1.0357962309,1.0339316726,1.0254977942,1.0512816896,19548,0.0998855414,195704,False,False,boundary,
117,11,C_001:SP_,range,1.0673402426,1.0681360960,1.0512816906,1.0797717561,19575,0.1000235049,195704,False,False,boundary,
118,11,C_001:SP_,range,1.1048780846,1.1057854891,1.0797717571,1.1273328056,19574,0.1000183951,195704,False,False,boundary,
119,11,C_001:SP_,range,1.1670024206,1.1624317169,1.1273328066,1.3069331646,19492,0.0995993950,195704,False,False,boundary,
120,12,C_002:SP_out,range,0.8441488656,0.8404551744,0.8200001717,0.8740485301,19575,0.1000235049,195704,False,False,boundary,
121,12,C_002:SP_out,range,0.8983852049,0.8974558115,0.8740485311,0.9212772240,19635,0.1003300903,195704,False,False,boundary,
122,12,C_002:SP_out,range,0.9354705842,0.9348300695,0.9212772250,0.9526627650,19578,0.1000388342,195704,False,False,boundary,
123,12,C_002:SP_out,range,0.9670538802,0.9700018167,0.9526627660,0.9766561975,19574,0.1000183951,195704,False,False,boundary,
124,12,C_002:SP_out,range,0.9881406109,0.9868686199,0.9766561985,1.0043159713,19575,0.1000235049,195704,False,False,boundary,
125,12,C_002:SP_out,range,1.0181204983,1.0201315880,1.0043159723,1.0270568122,19637,0.1003403099,195704,False,False,boundary,
126,12,C_002:SP_out,range,1.0383218441,1.0372834206,1.0270568132,1.0543266525,19546,0.0998753219,195704,False,False,boundary,
127,12,C_002:SP_out,range,1.0695290348,1.0705499649,1.0543266535,1.0808217515,19545,0.0998702122,195704,False,False,boundary,
128,12,C_002:SP_out,range,1.1074261071,1.1086790562,1.0808217525,1.1282514324,19549,0.0998906512,195704,False,False,boundary,
129,12,C_002:SP_out,range,1.1576984931,1.1632001400,1.1282514334,1.1800000668,19490,0.0995891755,195704,False,False,boundary,
130,13,C_005:SP_,range,0.8469897178,0.8456367850,0.8200000525,0.8754135360,19573,0.1000132854,195704,False,False,boundary,
131,13,C_005:SP_,range,0.8978356411,0.8986054659,0.8754135370,0.9203276624,19609,0.1001972366,195704,False,False,boundary,
132,13,C_005:SP_,range,0.9334499905,0.9326605201,0.9203276634,0.9499564757,19573,0.1000132854,195704,False,False,boundary,
133,13,C_005:SP_,range,0.9653130367,0.9675202966,0.9499564767,0.9753987183,19577,0.1000337244,195704,False,False,boundary,
134,13,C_005:SP_,range,0.9861554212,0.9846215248,0.9753987193,1.0022934665,19577,0.1000337244,195704,False,False,boundary,
135,13,C_005:SP_,range,1.0165645240,1.0190672874,1.0022934675,1.0260146846,19574,0.1000183951,195704,False,False,boundary,
136,13,C_005:SP_,range,1.0365550951,1.0349528790,1.0260146856,1.0524001112,19577,0.1000337244,195704,False,False,boundary,
137,13,C_005:SP_,range,1.0683695184,1.0693658590,1.0524001122,1.0800634613,19758,0.1009585905,195704,False,False,boundary,
138,13,C_005:SP_,range,1.1068667582,1.1084487438,1.0800634623,1.1282210340,19457,0.0994205535,195704,False,False,boundary,
139,13,C_005:SP_,range,1.1673019690,1.1637129784,1.1282210350,1.2956928015,19429,0.0992774803,195704,False,False,boundary,
140,14,C_008:ST,binary,0.0000000000,0.0000000000,-0.0100000000,0.0099999990,25902,0.1323529412,195704,False,True,boundary,
141,14,C_008:ST,binary,1.0000000000,1.0000000000,0.9900000000,1.0099999990,169802,0.8676470588,195704,False,True,boundary,
142,15,C_014:SP_out,range,0.8424987536,0.8391135335,0.8115071058,0.8733944287,19577,0.1000337244,195704,False,False,boundary,
143,15,C_014:SP_out,range,0.8967772643,0.8957720399,0.8733944297,0.9206482162,19573,0.1000132854,195704,False,False,boundary,
144,15,C_014:SP_out,range,0.9343940800,0.9337123036,0.9206482172,0.9511327734,19576,0.1000286146,195704,False,False,boundary,
145,15,C_014:SP_out,range,0.9662428401,0.9688112736,0.9511327744,0.9759587636,19578,0.1000388342,195704,False,False,boundary,
146,15,C_014:SP_out,range,0.9870268610,0.9854915738,0.9759587646,1.0033099641,19577,0.1000337244,195704,False,False,boundary,
147,15,C_014:SP_out,range,1.0172833661,1.0200048685,1.0033099651,1.0264643421,19574,0.1000183951,195704,False,False,boundary,
148,15,C_014:SP_out,range,1.0375692392,1.0361372232,1.0264643431,1.0535548915,19574,0.1000183951,195704,False,False,boundary,
149,15,C_014:SP_out,range,1.0691074368,1.0699930191,1.0535548925,1.0810356130,19578,0.1000388342,195704,False,False,boundary,
150,15,C_014:SP_out,range,1.1073974318,1.1087015867,1.0810356140,1.1281443824,19548,0.0998855414,195704,False,False,boundary,
151,15,C_014:SP_out,range,1.1582468860,1.1637005806,1.1281443834,1.1799998283,19549,0.0998906512,195704,False,False,boundary,
152,16,C_016:SP_out,range,0.8457034346,0.8454229236,0.8199999928,0.8732691993,19578,0.1000388342,195704,False,False,boundary,
153,16,C_016:SP_out,range,0.8959294481,0.8949338198,0.8732692003,0.9204742302,19577,0.1000337244,195704,False,False,boundary,
154,16,C_016:SP_out,range,0.9330461580,0.9321942925,0.9204742312,0.9492967119,19574,0.1000183951,195704,False,False,boundary,
155,16,C_016:SP_out,range,0.9646553815,0.9664739370,0.9492967129,0.9750342359,19575,0.1000235049,195704,False,False,boundary,
156,16,C_016:SP_out,range,0.9853307399,0.9834300876,0.9750342369,1.0008224239,19574,0.1000183951,195704,False,False,boundary,
157,16,C_016:SP_out,range,1.0156501278,1.0180268288,1.0008224249,1.0253988494,19576,0.1000286146,195704,False,False,boundary,
158,16,C_016:SP_out,range,1.0357091051,1.0339046717,1.0253988504,1.0512193431,19578,0.1000388342,195704,False,False,boundary,
159,16,C_016:SP_out,range,1.0673827033,1.0682164431,1.0512193441,1.0797994127,19608,0.1001921269,195704,False,False,boundary,
160,16,C_016:SP_out,range,1.1050295069,1.1063891649,1.0797994137,1.1276065101,19606,0.1001819074,195704,False,False,boundary,
161,16,C_016:SP_out,range,1.1622527480,1.1625200510,1.1276065111,1.2391238213,19458,0.0994256632,195704,False,False,boundary,
162,17,C_017:ST,binary,0.0000000000,0.0000000000,-0.0100000000,0.0099999990,25902,0.1323529412,195704,False,True,boundary,
163,17,C_017:ST,binary,1.0000000000,1.0000000000,0.9900000000,1.0099999990,169802,0.8676470588,195704,False,True,boundary,
164,18,C_019:SP_out,range,0.8400884127,0.8389771581,0.7760552168,0.8732611527,19608,0.1001921269,195704,False,False,boundary,
165,18,C_019:SP_out,range,0.8960845074,0.8947637081,0.8732611537,0.9205163111,19578,0.1000388342,195704,False,False,boundary,
166,18,C_019:SP_out,range,0.9335202514,0.9326716661,0.9205163121,0.9502245178,19575,0.1000235049,195704,False,False,boundary,
167,18,C_019:SP_out,range,0.9653970505,0.9677041769,0.9502245188,0.9754908671,19576,0.1000286146,195704,False,False,boundary,
168,18,C_019:SP_out,range,0.9862695329,0.9845803976,0.9754908681,1.0021642437,19573,0.1000132854,195704,False,False,boundary,
169,18,C_019:SP_out,range,1.0167025919,1.0194690228,1.0021642447,1.0260701170,19637,0.1003403099,195704,False,False,boundary,
170,18,C_019:SP_out,range,1.0367826414,1.0351992846,1.0260701180,1.0527350893,19578,0.1000388342,195704,False,False,boundary,
171,18,C_019:SP_out,range,1.0685349507,1.0695278645,1.0527350903,1.0800422420,19695,0.1006366758,195704,False,False,boundary,
172,18,C_019:SP_out,range,1.1055413281,1.1061408520,1.0800422430,1.1263648262,19458,0.0994256632,195704,False,False,boundary,
173,18,C_019:SP_out,range,1.1551742972,1.1580864787,1.1263648272,1.1799997091,19426,0.0992621510,195704,False,False,boundary,
174,19,C_021:SP_out,range,0.8330439731,0.8405263424,0.6647292972,0.8741413345,19578,0.1000388342,195704,False,False,boundary,
175,19,C_021:SP_out,range,0.8976968126,0.8967280388,0.8741413355,0.9209135761,19576,0.1000286146,195704,False,False,boundary,
176,19,C_021:SP_out,range,0.9345030530,0.9336304665,0.9209135771,0.9511755099,19574,0.1000183951,195704,False,False,boundary,
177,19,C_021:SP_out,range,0.9661598650,0.9686285257,0.9511755109,0.9759823074,19606,0.1001819074,195704,False,False,boundary,
178,19,C_021:SP_out,range,0.9869204974,0.9852679968,0.9759823084,1.0027981987,19580,0.1000490537,195704,False,False,boundary,
179,19,C_021:SP_out,range,1.0168575487,1.0192810297,1.0027981997,1.0262006511,19574,0.1000183951,195704,False,False,boundary,
180,19,C_021:SP_out,range,1.0369328682,1.0352872610,1.0262006521,1.0524213304,19574,0.1000183951,195704,False,False,boundary,
181,19,C_021:SP_out,range,1.0683881844,1.0695306063,1.0524213314,1.0799653520,19577,0.1000337244,195704,False,False,boundary,
182,19,C_021:SP_out,range,1.1059505653,1.1074317694,1.0799653530,1.1276769628,19548,0.0998855414,195704,False,False,boundary,
183,19,C_021:SP_out,range,1.1615661940,1.1625998020,1.1276769638,1.2301006317,19517,0.0997271389,195704,False,False,boundary,
