variable,equipment_id,equipment_type,physical_quantity,role,unit,controllable,lower_limit,upper_limit,warning_lower_limit,warning_upper_limit,source,sources,effect_targets
B_001:FR,B_001,ball_valve,valve_flow_ratio,input,p.u.,True,0.0,1.2,0.0,1.2,Pipeline_Full_Life_Cycle_Test_Dataset-v4.json,['Pipeline_Full_Life_Cycle_Test_Dataset-v4.json'],"[{'physical_quantity': 'valve_opening', 'direction': 'positive', 'gain': 0.8}, {'physical_quantity': 'flow', 'direction': 'positive', 'gain': 0.6}, {'physical_quantity': 'pressure', 'direction': 'positive', 'gain': 0.1}]"
B_015:FR,B_015,ball_valve,valve_flow_ratio,input,p.u.,True,0.0,1.2,0.0,1.2,Pipeline_Full_Life_Cycle_Test_Dataset-v4.json,['Pipeline_Full_Life_Cycle_Test_Dataset-v4.json'],"[{'physical_quantity': 'valve_opening', 'direction': 'positive', 'gain': 0.8}, {'physical_quantity': 'flow', 'direction': 'positive', 'gain': 0.6}, {'physical_quantity': 'pressure', 'direction': 'positive', 'gain': 0.1}]"
B_120:FR,B_120,ball_valve,valve_flow_ratio,input,p.u.,True,0.0,1.2,0.0,1.2,multiple_lifecycle_sources,"['Pipeline_Full_Life_Cycle_Test_Dataset-v4.json', 'Pipeline_Full_Life_Cycle_Test_Dataset-v7.json']","[{'physical_quantity': 'valve_opening', 'direction': 'positive', 'gain': 0.8}, {'physical_quantity': 'flow', 'direction': 'positive', 'gain': 0.6}, {'physical_quantity': 'pressure', 'direction': 'positive', 'gain': 0.1}]"
B_198:FR,B_198,ball_valve,valve_flow_ratio,input,p.u.,True,0.0,1.2,0.0,1.2,Pipeline_Full_Life_Cycle_Test_Dataset-v7.json,['Pipeline_Full_Life_Cycle_Test_Dataset-v7.json'],"[{'physical_quantity': 'valve_opening', 'direction': 'positive', 'gain': 0.8}, {'physical_quantity': 'flow', 'direction': 'positive', 'gain': 0.6}, {'physical_quantity': 'pressure', 'direction': 'positive', 'gain': 0.1}]"
B_233:FR,B_233,ball_valve,valve_flow_ratio,input,p.u.,True,0.0,1.2,0.0,1.2,multiple_lifecycle_sources,"['Pipeline_Full_Life_Cycle_Test_Dataset-v4.json', 'Pipeline_Full_Life_Cycle_Test_Dataset-v7.json']","[{'physical_quantity': 'valve_opening', 'direction': 'positive', 'gain': 0.8}, {'physical_quantity': 'flow', 'direction': 'positive', 'gain': 0.6}, {'physical_quantity': 'pressure', 'direction': 'positive', 'gain': 0.1}]"
B_273:FR,B_273,ball_valve,valve_flow_ratio,input,p.u.,True,0.0,1.2,0.0,1.2,Pipeline_Full_Life_Cycle_Test_Dataset-v7.json,['Pipeline_Full_Life_Cycle_Test_Dataset-v7.json'],"[{'physical_quantity': 'valve_opening', 'direction': 'positive', 'gain': 0.8}, {'physical_quantity': 'flow', 'direction': 'positive', 'gain': 0.6}, {'physical_quantity': 'pressure', 'direction': 'positive', 'gain': 0.1}]"
B_286:FR,B_286,ball_valve,valve_flow_ratio,input,p.u.,True,0.0,1.2,0.0,1.2,Pipeline_Full_Life_Cycle_Test_Dataset-v7.json,['Pipeline_Full_Life_Cycle_Test_Dataset-v7.json'],"[{'physical_quantity': 'valve_opening', 'direction': 'positive', 'gain': 0.8}, {'physical_quantity': 'flow', 'direction': 'positive', 'gain': 0.6}, {'physical_quantity': 'pressure', 'direction': 'positive', 'gain': 0.1}]"
B_302:FR,B_302,ball_valve,valve_flow_ratio,input,p.u.,True,0.0,1.2,0.0,1.2,Pipeline_Full_Life_Cycle_Test_Dataset-v7.json,['Pipeline_Full_Life_Cycle_Test_Dataset-v7.json'],"[{'physical_quantity': 'valve_opening', 'direction': 'positive', 'gain': 0.8}, {'physical_quantity': 'flow', 'direction': 'positive', 'gain': 0.6}, {'physical_quantity': 'pressure', 'direction': 'positive', 'gain': 0.1}]"
B_317:FR,B_317,ball_valve,valve_flow_ratio,input,p.u.,True,0.0,1.2,0.0,1.2,Pipeline_Full_Life_Cycle_Test_Dataset-v7.json,['Pipeline_Full_Life_Cycle_Test_Dataset-v7.json'],"[{'physical_quantity': 'valve_opening', 'direction': 'positive', 'gain': 0.8}, {'physical_quantity': 'flow', 'direction': 'positive', 'gain': 0.6}, {'physical_quantity': 'pressure', 'direction': 'positive', 'gain': 0.1}]"
B_329:FR,B_329,ball_valve,valve_flow_ratio,input,p.u.,True,0.0,1.2,0.0,1.2,Pipeline_Full_Life_Cycle_Test_Dataset-v7.json,['Pipeline_Full_Life_Cycle_Test_Dataset-v7.json'],"[{'physical_quantity': 'valve_opening', 'direction': 'positive', 'gain': 0.8}, {'physical_quantity': 'flow', 'direction': 'positive', 'gain': 0.6}, {'physical_quantity': 'pressure', 'direction': 'positive', 'gain': 0.1}]"
B_341:FR,B_341,ball_valve,valve_flow_ratio,input,p.u.,True,0.0,1.2,0.0,1.2,Pipeline_Full_Life_Cycle_Test_Dataset-v7.json,['Pipeline_Full_Life_Cycle_Test_Dataset-v7.json'],"[{'physical_quantity': 'valve_opening', 'direction': 'positive', 'gain': 0.8}, {'physical_quantity': 'flow', 'direction': 'positive', 'gain': 0.6}, {'physical_quantity': 'pressure', 'direction': 'positive', 'gain': 0.1}]"
C_001:SP_,C_001,compressor,rotational_speed_setpoint,input,p.u.,True,0.4,1.6,0.4,1.6,Pipeline_Full_Life_Cycle_Test_Dataset-v4.json,['Pipeline_Full_Life_Cycle_Test_Dataset-v4.json'],"[{'physical_quantity': 'rotational_speed', 'direction': 'positive', 'gain': 0.8}, {'physical_quantity': 'compressor_load', 'direction': 'positive', 'gain': 0.4}, {'physical_quantity': 'compression_ratio', 'direction': 'positive', 'gain': 0.3}, {'physical_quantity': 'power', 'direction': 'positive', 'gain': 0.65}, {'physical_quantity': 'pressure', 'direction': 'positive', 'gain': 0.35}, {'physical_quantity': 'linepack', 'direction': 'positive', 'gain': 0.15}]"
C_002:SP_out,C_002,compressor,outlet_pressure_setpoint,input,p.u.,True,0.4,1.6,0.4,1.6,Pipeline_Full_Life_Cycle_Test_Dataset-v7.json,['Pipeline_Full_Life_Cycle_Test_Dataset-v7.json'],"[{'physical_quantity': 'compression_ratio', 'direction': 'positive', 'gain': 0.55}, {'physical_quantity': 'compressor_load', 'direction': 'positive', 'gain': 0.35}, {'physical_quantity': 'power', 'direction': 'positive', 'gain': 0.55}, {'physical_quantity': 'pressure', 'direction': 'positive', 'gain': 0.6}, {'physical_quantity': 'linepack', 'direction': 'positive', 'gain': 0.2}]"
