TIME,B_001_v000,B_001_v001
2025-01-01 00:01:00,1.0086448,1.3259625
2025-01-01 00:02:00,1.0089006,1.326057
2025-01-01 00:03:00,1.0091549,1.3261486
2025-01-01 00:04:00,1.0094078,1.3262377
2025-01-01 00:05:00,1.0096593,1.326324
2025-01-01 00:06:00,1.0099094,1.3264076
2025-01-01 00:07:00,1.0101581,1.3264886
2025-01-01 00:08:00,1.0104054,1.3265669
2025-01-01 00:09:00,1.0106515,1.3266428
2025-01-01 00:10:00,1.0108962,1.3267161
2025-01-01 00:11:00,1.0111398,1.3267869
2025-01-01 00:12:00,1.011382,1.3268551
2025-01-01 00:13:00,1.0116231,1.3269209
2025-01-01 00:14:00,1.011863,1.3269843
2025-01-01 00:15:00,1.0121017,1.3270452
2025-01-01 00:16:00,1.0123392,1.3271039
2025-01-01 00:17:00,1.0125757,1.3271601
2025-01-01 00:18:00,1.0128112,1.327214
2025-01-01 00:19:00,1.0130455,1.3272657
2025-01-01 00:20:00,1.0132788,1.3273151
2025-01-01 00:21:00,1.0135112,1.3273623
2025-01-01 00:22:00,1.0137426,1.3274072
2025-01-01 00:23:00,1.0139731,1.3274503
2025-01-01 00:24:00,1.0142026,1.327491
2025-01-01 00:25:00,1.0144312,1.3275297
2025-01-01 00:26:00,1.0146589,1.3275661
2025-01-01 00:27:00,1.0148859,1.3276007
2025-01-01 00:28:00,1.015112,1.3276333
2025-01-01 00:29:00,1.0153375,1.3276639
2025-01-01 00:30:00,1.015562,1.3276925
2025-01-01 00:31:00,1.0157859,1.3277193
2025-01-01 00:32:00,1.0160092,1.3277441
2025-01-01 00:33:00,1.0162318,1.3277673
2025-01-01 00:34:00,1.0164537,1.3277885
2025-01-01 00:35:00,1.016675,1.3278079
2025-01-01 00:36:00,1.0168958,1.3278257
2025-01-01 00:37:00,1.0171161,1.3278418
2025-01-01 00:38:00,1.0173358,1.3278561
2025-01-01 00:39:00,1.017555,1.3278688
2025-01-01 00:40:00,1.0177739,1.3278799
2025-01-01 00:41:00,1.0179923,1.3278894
2025-01-01 00:42:00,1.0182102,1.3278975
2025-01-01 00:43:00,1.0184278,1.327904
2025-01-01 00:44:00,1.018645,1.3279091
2025-01-01 00:45:00,1.018862,1.3279127
2025-01-01 00:46:00,1.0190787,1.3279148
2025-01-01 00:47:00,1.0192952,1.3279157
2025-01-01 00:48:00,1.0195115,1.3279152
2025-01-01 00:49:00,1.0197275,1.3279134
2025-01-01 00:50:00,1.0199434,1.3279103
2025-01-01 00:51:00,1.0201591,1.327906
2025-01-01 00:52:00,1.0203748,1.3279005
2025-01-01 00:53:00,1.0205904,1.3278939
2025-01-01 00:54:00,1.020806,1.3278861
2025-01-01 00:55:00,1.0210215,1.3278772
2025-01-01 00:56:00,1.021237,1.3278672
2025-01-01 00:57:00,1.0214527,1.3278562
2025-01-01 00:58:00,1.0216683,1.3278441
2025-01-01 00:59:00,1.0218841,1.3278311
2025-01-01 01:00:00,1.0221001,1.3278173
2025-01-01 01:01:00,1.0223162,1.3278024
2025-01-01 01:02:00,1.0225325,1.3277868
2025-01-01 01:03:00,1.022749,1.3277704
2025-01-01 01:04:00,1.0229657,1.327753
2025-01-01 01:05:00,1.0231827,1.327735
2025-01-01 01:06:00,1.0234001,1.3277161
2025-01-01 01:07:00,1.0236179,1.3276967
2025-01-01 01:08:00,1.0238359,1.3276765
2025-01-01 01:09:00,1.0240543,1.3276557
2025-01-01 01:10:00,1.0242732,1.3276343
2025-01-01 01:11:00,1.0244925,1.3276123
2025-01-01 01:12:00,1.0247122,1.3275898
2025-01-01 01:13:00,1.0249325,1.3275667
2025-01-01 01:14:00,1.0251533,1.3275433
2025-01-01 01:15:00,1.0253747,1.3275192
2025-01-01 01:16:00,1.0255966,1.3274949
2025-01-01 01:17:00,1.0258192,1.3274701
2025-01-01 01:18:00,1.0260423,1.327445
2025-01-01 01:19:00,1.0262662,1.3274196
2025-01-01 01:20:00,1.0264908,1.3273939
2025-01-01 01:21:00,1.026716,1.3273679
2025-01-01 01:22:00,1.026942,1.3273417
2025-01-01 01:23:00,1.0271688,1.3273153
2025-01-01 01:24:00,1.0273963,1.3272887
2025-01-01 01:25:00,1.0276247,1.327262
2025-01-01 01:26:00,1.027854,1.3272353
2025-01-01 01:27:00,1.028084,1.3272084
2025-01-01 01:28:00,1.028315,1.3271816
2025-01-01 01:29:00,1.0285469,1.3271546
2025-01-01 01:30:00,1.0287797,1.3271277
2025-01-01 01:31:00,1.0290135,1.3271008
2025-01-01 01:32:00,1.0292482,1.3270739
2025-01-01 01:33:00,1.029484,1.3270472
2025-01-01 01:34:00,1.0297209,1.3270206
2025-01-01 01:35:00,1.0299587,1.3269943
2025-01-01 01:36:00,1.0301977,1.326968
2025-01-01 01:37:00,1.0304378,1.326942
2025-01-01 01:38:00,1.030679,1.3269161
2025-01-01 01:39:00,1.0309213,1.3268906
2025-01-01 01:40:00,1.0311648,1.3268653
2025-01-01 01:41:00,1.0314095,1.3268404
2025-01-01 01:42:00,1.0316554,1.3268158
2025-01-01 01:43:00,1.0319026,1.3267915
2025-01-01 01:44:00,1.0321509,1.3267677
2025-01-01 01:45:00,1.0324005,1.3267443
2025-01-01 01:46:00,1.0326514,1.3267213
2025-01-01 01:47:00,1.0329037,1.3266988
2025-01-01 01:48:00,1.0331572,1.3266767
2025-01-01 01:49:00,1.0334121,1.3266551
