TIME,C_001_v000,C_001_v001,C_001_v002
2025-01-01 00:01:00,0.9933416,1.3106593,1.5660855
2025-01-01 00:02:00,0.99359846,1.3107548,1.5658466
2025-01-01 00:03:00,0.9938563,1.31085,1.5656073
2025-01-01 00:04:00,0.99411553,1.3109454,1.565368
2025-01-01 00:05:00,0.9943759,1.3110406,1.5651287
2025-01-01 00:06:00,0.9946374,1.3111356,1.564889
2025-01-01 00:07:00,0.99490035,1.3112309,1.5646493
2025-01-01 00:08:00,0.9951646,1.3113261,1.5644097
2025-01-01 00:09:00,0.9954301,1.3114214,1.5641701
2025-01-01 00:10:00,0.9956969,1.3115166,1.5639304
2025-01-01 00:11:00,0.9959651,1.3116121,1.5636909
2025-01-01 00:12:00,0.9962348,1.3117079,1.5634515
2025-01-01 00:13:00,0.99650574,1.3118036,1.563212
2025-01-01 00:14:00,0.99677825,1.3118995,1.562973
2025-01-01 00:15:00,0.9970522,1.3119957,1.562734
2025-01-01 00:16:00,0.99732757,1.3120921,1.5624952
2025-01-01 00:17:00,0.99760455,1.3121889,1.5622568
2025-01-01 00:18:00,0.997883,1.3122859,1.5620188
2025-01-01 00:19:00,0.998163,1.3123832,1.5617808
2025-01-01 00:20:00,0.9984446,1.3124809,1.5615433
2025-01-01 00:21:00,0.99872786,1.3125789,1.5613064
2025-01-01 00:22:00,0.9990127,1.3126775,1.5610697
2025-01-01 00:23:00,0.99929905,1.3127763,1.5608335
2025-01-01 00:24:00,0.99958724,1.3128756,1.5605978
2025-01-01 00:25:00,0.99987704,1.3129755,1.5603626
2025-01-01 00:26:00,1.0001684,1.3130757,1.5601279
2025-01-01 00:27:00,1.0004617,1.3131766,1.5598938
2025-01-01 00:28:00,1.0007567,1.313278,1.5596604
2025-01-01 00:29:00,1.0010533,1.3133799,1.5594275
2025-01-01 00:30:00,1.001352,1.3134824,1.5591954
2025-01-01 00:31:00,1.0016522,1.3135855,1.558964
2025-01-01 00:32:00,1.0019543,1.3136892,1.5587332
2025-01-01 00:33:00,1.0022583,1.3137937,1.5585032
2025-01-01 00:34:00,1.0025641,1.3138988,1.558274
2025-01-01 00:35:00,1.0028718,1.3140047,1.5580456
2025-01-01 00:36:00,1.0031812,1.3141111,1.5578179
2025-01-01 00:37:00,1.0034927,1.3142184,1.5575913
2025-01-01 00:38:00,1.0038061,1.3143264,1.5573654
2025-01-01 00:39:00,1.0041213,1.3144351,1.5571405
2025-01-01 00:40:00,1.0044386,1.3145448,1.5569165
2025-01-01 00:41:00,1.0047579,1.3146552,1.5566934
2025-01-01 00:42:00,1.005079,1.3147663,1.5564713
2025-01-01 00:43:00,1.0054022,1.3148785,1.5562503
2025-01-01 00:44:00,1.0057274,1.3149914,1.5560304
2025-01-01 00:45:00,1.0060546,1.3151052,1.5558114
2025-01-01 00:46:00,1.0063838,1.3152199,1.5555935
2025-01-01 00:47:00,1.006715,1.3153356,1.5553768
2025-01-01 00:48:00,1.0070484,1.3154522,1.5551611
2025-01-01 00:49:00,1.0073837,1.3155696,1.5549465
2025-01-01 00:50:00,1.0077212,1.3156883,1.5547333
2025-01-01 00:51:00,1.0080608,1.3158077,1.5545211
2025-01-01 00:52:00,1.0084023,1.3159281,1.5543101
2025-01-01 00:53:00,1.0087461,1.3160497,1.5541005
2025-01-01 00:54:00,1.0090921,1.3161722,1.553892
2025-01-01 00:55:00,1.0094401,1.3162957,1.5536848
2025-01-01 00:56:00,1.0097902,1.3164203,1.553479
2025-01-01 00:57:00,1.0101426,1.3165461,1.5532744
2025-01-01 00:58:00,1.0104971,1.3166729,1.5530713
2025-01-01 00:59:00,1.0108535,1.3168006,1.5528693
2025-01-01 01:00:00,1.0112123,1.3169296,1.5526688
2025-01-01 01:01:00,1.0115733,1.3170598,1.5524697
2025-01-01 01:02:00,1.0119364,1.3171908,1.552272
2025-01-01 01:03:00,1.0123018,1.3173231,1.5520756
2025-01-01 01:04:00,1.0126693,1.3174566,1.5518808
2025-01-01 01:05:00,1.013039,1.3175912,1.5516872
2025-01-01 01:06:00,1.0134109,1.317727,1.5514953
2025-01-01 01:07:00,1.0137851,1.317864,1.5513049
2025-01-01 01:08:00,1.0141613,1.318002,1.5511159
2025-01-01 01:09:00,1.01454,1.3181413,1.5509284
2025-01-01 01:10:00,1.0149207,1.3182819,1.5507425
2025-01-01 01:11:00,1.0153037,1.3184235,1.5505581
2025-01-01 01:12:00,1.0156889,1.3185663,1.5503751
2025-01-01 01:13:00,1.0160763,1.3187106,1.5501938
2025-01-01 01:14:00,1.016466,1.3188559,1.5500141
2025-01-01 01:15:00,1.0168579,1.3190024,1.5498359
2025-01-01 01:16:00,1.017252,1.3191502,1.5496594
2025-01-01 01:17:00,1.0176483,1.3192992,1.5494844
2025-01-01 01:18:00,1.0180467,1.3194494,1.5493109
2025-01-01 01:19:00,1.0184475,1.3196009,1.5491393
2025-01-01 01:20:00,1.0188506,1.3197536,1.5489691
2025-01-01 01:21:00,1.0192556,1.3199075,1.5488007
2025-01-01 01:22:00,1.0196631,1.3200629,1.5486339
2025-01-01 01:23:00,1.0200728,1.3202194,1.5484688
2025-01-01 01:24:00,1.0204847,1.3203771,1.5483054
2025-01-01 01:25:00,1.0208986,1.320536,1.5481435
2025-01-01 01:26:00,1.0213149,1.3206962,1.5479834
2025-01-01 01:27:00,1.0217334,1.3208578,1.547825
2025-01-01 01:28:00,1.0221539,1.3210205,1.5476681
2025-01-01 01:29:00,1.0225767,1.3211844,1.5475131
2025-01-01 01:30:00,1.0230018,1.3213497,1.5473598
2025-01-01 01:31:00,1.0234288,1.321516,1.5472081
2025-01-01 01:32:00,1.0238582,1.3216839,1.5470581
2025-01-01 01:33:00,1.0242896,1.3218528,1.5469099
2025-01-01 01:34:00,1.0247232,1.3220229,1.5467633
2025-01-01 01:35:00,1.0251589,1.3221945,1.5466186
2025-01-01 01:36:00,1.0255969,1.3223671,1.5464755
2025-01-01 01:37:00,1.0260369,1.322541,1.5463341
2025-01-01 01:38:00,1.0264789,1.322716,1.5461944
2025-01-01 01:39:00,1.0269231,1.3228924,1.5460565
2025-01-01 01:40:00,1.0273694,1.3230699,1.5459204
2025-01-01 01:41:00,1.0278177,1.3232486,1.5457858
2025-01-01 01:42:00,1.0282682,1.3234286,1.5456531
2025-01-01 01:43:00,1.0287206,1.3236097,1.5455221
2025-01-01 01:44:00,1.029175,1.323792,1.5453928
2025-01-01 01:45:00,1.0296316,1.3239754,1.5452652
2025-01-01 01:46:00,1.0300902,1.3241601,1.5451393
2025-01-01 01:47:00,1.0305508,1.324346,1.5450151
2025-01-01 01:48:00,1.0310133,1.3245327,1.5448925
2025-01-01 01:49:00,1.0314778,1.3247209,1.5447718
2025-01-01 01:50:00,1.0319443,1.3249102,1.5446528
2025-01-01 01:51:00,1.0324126,1.3251004,1.5445353
2025-01-01 01:52:00,1.0328829,1.3252919,1.5444196
2025-01-01 01:53:00,1.0333552,1.3254844,1.5443057
2025-01-01 01:54:00,1.0338292,1.3256779,1.5441933
2025-01-01 01:55:00,1.0343052,1.3258727,1.5440826
2025-01-01 01:56:00,1.034783,1.3260684,1.5439737
2025-01-01 01:57:00,1.0352626,1.3262651,1.5438663
2025-01-01 01:58:00,1.0357441,1.3264629,1.5437605
2025-01-01 01:59:00,1.0362273,1.3266617,1.5436566
2025-01-01 02:00:00,1.0367124,1.3268616,1.5435542
2025-01-01 02:01:00,1.0371991,1.3270624,1.5434533
2025-01-01 02:02:00,1.0376877,1.3272642,1.5433542
2025-01-01 02:03:00,1.038178,1.3274668,1.5432566
2025-01-01 02:04:00,1.0386697,1.3276705,1.5431606
2025-01-01 02:05:00,1.0391634,1.3278751,1.5430661
2025-01-01 02:06:00,1.0396587,1.3280807,1.5429733
2025-01-01 02:07:00,1.0401554,1.328287,1.542882
2025-01-01 02:08:00,1.040654,1.3284943,1.5427923
2025-01-01 02:09:00,1.0411539,1.3287024,1.5427041
2025-01-01 02:10:00,1.0416554,1.3289113,1.5426173
2025-01-01 02:11:00,1.0421586,1.3291211,1.5425322
2025-01-01 02:12:00,1.0426632,1.3293316,1.5424486
2025-01-01 02:13:00,1.0431694,1.3295431,1.5423665
2025-01-01 02:14:00,1.0436769,1.3297551,1.5422857
2025-01-01 02:15:00,1.0441859,1.329968,1.5422064
2025-01-01 02:16:00,1.0446962,1.3301816,1.5421287
2025-01-01 02:17:00,1.0452079,1.3303958,1.5420521
2025-01-01 02:18:00,1.045721,1.3306108,1.5419773
2025-01-01 02:19:00,1.0462354,1.3308264,1.5419037
2025-01-01 02:20:00,1.0467511,1.3310425,1.5418314
2025-01-01 02:21:00,1.0472682,1.3312594,1.5417606
2025-01-01 02:22:00,1.0477864,1.3314768,1.5416911
2025-01-01 02:23:00,1.0483057,1.3316947,1.5416229
2025-01-01 02:24:00,1.0488263,1.3319134,1.541556
2025-01-01 02:25:00,1.0493481,1.3321323,1.5414904
2025-01-01 02:26:00,1.049871,1.3323519,1.5414262
2025-01-01 02:27:00,1.0503949,1.3325719,1.541363
2025-01-01 02:28:00,1.05092,1.3327924,1.5413011
2025-01-01 02:29:00,1.0514461,1.3330133,1.5412406
2025-01-01 02:30:00,1.051973,1.3332345,1.5411811
2025-01-01 02:31:00,1.0525011,1.3334562,1.5411228
2025-01-01 02:32:00,1.05303,1.3336782,1.5410658
2025-01-01 02:33:00,1.0535598,1.3339005,1.5410097
2025-01-01 02:34:00,1.0540906,1.3341231,1.5409548
2025-01-01 02:35:00,1.0546222,1.3343459,1.5409011
2025-01-01 02:36:00,1.0551544,1.334569,1.5408484
2025-01-01 02:37:00,1.0556877,1.3347924,1.5407966
2025-01-01 02:38:00,1.0562216,1.3350159,1.5407461
2025-01-01 02:39:00,1.0567561,1.3352395,1.5406965
2025-01-01 02:40:00,1.0572914,1.3354633,1.5406477
2025-01-01 02:41:00,1.0578272,1.3356872,1.5406001
2025-01-01 02:42:00,1.0583638,1.3359112,1.5405533
2025-01-01 02:43:00,1.0589008,1.3361351,1.5405074
2025-01-01 02:44:00,1.0594385,1.3363591,1.5404625
2025-01-01 02:45:00,1.0599766,1.3365831,1.5404184
2025-01-01 02:46:00,1.060515,1.336807,1.540375
2025-01-01 02:47:00,1.0610541,1.337031,1.5403326
2025-01-01 02:48:00,1.0615935,1.3372548,1.540291
2025-01-01 02:49:00,1.0621332,1.3374783,1.54025
2025-01-01 02:50:00,1.0626733,1.3377018,1.5402098
2025-01-01 02:51:00,1.0632137,1.3379252,1.5401703
2025-01-01 02:52:00,1.0637543,1.3381482,1.5401316
2025-01-01 02:53:00,1.0642949,1.3383709,1.5400934
2025-01-01 02:54:00,1.064836,1.3385935,1.540056
