TIME,N_001_v000,N_002_v000
2025-01-01 00:01:00,0.9933416,1.3106593
2025-01-01 00:02:00,0.99359846,1.3107548
2025-01-01 00:03:00,0.9938563,1.31085
2025-01-01 00:04:00,0.99411553,1.3109454
2025-01-01 00:05:00,0.9943759,1.3110406
2025-01-01 00:06:00,0.9946374,1.3111356
2025-01-01 00:07:00,0.99490035,1.3112309
2025-01-01 00:08:00,0.9951646,1.3113261
2025-01-01 00:09:00,0.9954301,1.3114214
2025-01-01 00:10:00,0.9956969,1.3115166
2025-01-01 00:11:00,0.9959651,1.3116121
2025-01-01 00:12:00,0.9962348,1.3117079
2025-01-01 00:13:00,0.99650574,1.3118036
2025-01-01 00:14:00,0.99677825,1.3118995
2025-01-01 00:15:00,0.9970522,1.3119957
2025-01-01 00:16:00,0.99732757,1.3120921
2025-01-01 00:17:00,0.99760455,1.3121889
2025-01-01 00:18:00,0.997883,1.3122859
2025-01-01 00:19:00,0.998163,1.3123832
2025-01-01 00:20:00,0.9984446,1.3124809
2025-01-01 00:21:00,0.99872786,1.3125789
2025-01-01 00:22:00,0.9990127,1.3126775
2025-01-01 00:23:00,0.99929905,1.3127763
2025-01-01 00:24:00,0.99958724,1.3128756
2025-01-01 00:25:00,0.99987704,1.3129755
2025-01-01 00:26:00,1.0001684,1.3130757
2025-01-01 00:27:00,1.0004617,1.3131766
2025-01-01 00:28:00,1.0007567,1.313278
2025-01-01 00:29:00,1.0010533,1.3133799
2025-01-01 00:30:00,1.001352,1.3134824
2025-01-01 00:31:00,1.0016522,1.3135855
2025-01-01 00:32:00,1.0019543,1.3136892
2025-01-01 00:33:00,1.0022583,1.3137937
2025-01-01 00:34:00,1.0025641,1.3138988
2025-01-01 00:35:00,1.0028718,1.3140047
2025-01-01 00:36:00,1.0031812,1.3141111
2025-01-01 00:37:00,1.0034927,1.3142184
2025-01-01 00:38:00,1.0038061,1.3143264
2025-01-01 00:39:00,1.0041213,1.3144351
2025-01-01 00:40:00,1.0044386,1.3145448
2025-01-01 00:41:00,1.0047579,1.3146552
2025-01-01 00:42:00,1.005079,1.3147663
2025-01-01 00:43:00,1.0054022,1.3148785
2025-01-01 00:44:00,1.0057274,1.3149914
2025-01-01 00:45:00,1.0060546,1.3151052
2025-01-01 00:46:00,1.0063838,1.3152199
2025-01-01 00:47:00,1.006715,1.3153356
2025-01-01 00:48:00,1.0070484,1.3154522
2025-01-01 00:49:00,1.0073837,1.3155696
2025-01-01 00:50:00,1.0077212,1.3156883
2025-01-01 00:51:00,1.0080608,1.3158077
2025-01-01 00:52:00,1.0084023,1.3159281
2025-01-01 00:53:00,1.0087461,1.3160497
2025-01-01 00:54:00,1.0090921,1.3161722
2025-01-01 00:55:00,1.0094401,1.3162957
2025-01-01 00:56:00,1.0097902,1.3164203
2025-01-01 00:57:00,1.0101426,1.3165461
2025-01-01 00:58:00,1.0104971,1.3166729
2025-01-01 00:59:00,1.0108535,1.3168006
2025-01-01 01:00:00,1.0112123,1.3169296
2025-01-01 01:01:00,1.0115733,1.3170598
2025-01-01 01:02:00,1.0119364,1.3171908
2025-01-01 01:03:00,1.0123018,1.3173231
2025-01-01 01:04:00,1.0126693,1.3174566
2025-01-01 01:05:00,1.013039,1.3175912
2025-01-01 01:06:00,1.0134109,1.317727
2025-01-01 01:07:00,1.0137851,1.317864
2025-01-01 01:08:00,1.0141613,1.318002
2025-01-01 01:09:00,1.01454,1.3181413
2025-01-01 01:10:00,1.0149207,1.3182819
2025-01-01 01:11:00,1.0153037,1.3184235
2025-01-01 01:12:00,1.0156889,1.3185663
2025-01-01 01:13:00,1.0160763,1.3187106
2025-01-01 01:14:00,1.016466,1.3188559
2025-01-01 01:15:00,1.0168579,1.3190024
2025-01-01 01:16:00,1.017252,1.3191502
2025-01-01 01:17:00,1.0176483,1.3192992
2025-01-01 01:18:00,1.0180467,1.3194494
2025-01-01 01:19:00,1.0184475,1.3196009
2025-01-01 01:20:00,1.0188506,1.3197536
2025-01-01 01:21:00,1.0192556,1.3199075
2025-01-01 01:22:00,1.0196631,1.3200629
2025-01-01 01:23:00,1.0200728,1.3202194
2025-01-01 01:24:00,1.0204847,1.3203771
