TIME,C_001_v000,C_001_v001,C_001_v002
2025-01-01 00:01:00,1.0086448,1.3259625,1.5813886
2025-01-01 00:02:00,1.0089006,1.326057,1.5811487
2025-01-01 00:03:00,1.0091549,1.3261486,1.5809059
2025-01-01 00:04:00,1.0094078,1.3262377,1.5806603
2025-01-01 00:05:00,1.0096593,1.326324,1.580412
2025-01-01 00:06:00,1.0099094,1.3264076,1.5801609
2025-01-01 00:07:00,1.0101581,1.3264886,1.5799071
2025-01-01 00:08:00,1.0104054,1.3265669,1.5796506
2025-01-01 00:09:00,1.0106515,1.3266428,1.5793915
2025-01-01 00:10:00,1.0108962,1.3267161,1.5791298
2025-01-01 00:11:00,1.0111398,1.3267869,1.5788655
2025-01-01 00:12:00,1.011382,1.3268551,1.5785987
2025-01-01 00:13:00,1.0116231,1.3269209,1.5783294
2025-01-01 00:14:00,1.011863,1.3269843,1.5780576
2025-01-01 00:15:00,1.0121017,1.3270452,1.5777835
2025-01-01 00:16:00,1.0123392,1.3271039,1.5775069
2025-01-01 00:17:00,1.0125757,1.3271601,1.5772281
2025-01-01 00:18:00,1.0128112,1.327214,1.5769469
2025-01-01 00:19:00,1.0130455,1.3272657,1.5766634
2025-01-01 00:20:00,1.0132788,1.3273151,1.5763776
2025-01-01 00:21:00,1.0135112,1.3273623,1.5760896
2025-01-01 00:22:00,1.0137426,1.3274072,1.5757996
2025-01-01 00:23:00,1.0139731,1.3274503,1.5755074
2025-01-01 00:24:00,1.0142026,1.327491,1.5752131
2025-01-01 00:25:00,1.0144312,1.3275297,1.5749167
2025-01-01 00:26:00,1.0146589,1.3275661,1.5746183
2025-01-01 00:27:00,1.0148859,1.3276007,1.574318
2025-01-01 00:28:00,1.015112,1.3276333,1.5740157
2025-01-01 00:29:00,1.0153375,1.3276639,1.5737116
2025-01-01 00:30:00,1.015562,1.3276925,1.5734055
2025-01-01 00:31:00,1.0157859,1.3277193,1.5730977
2025-01-01 00:32:00,1.0160092,1.3277441,1.5727881
2025-01-01 00:33:00,1.0162318,1.3277673,1.5724767
2025-01-01 00:34:00,1.0164537,1.3277885,1.5721636
2025-01-01 00:35:00,1.016675,1.3278079,1.5718489
2025-01-01 00:36:00,1.0168958,1.3278257,1.5715325
2025-01-01 00:37:00,1.0171161,1.3278418,1.5712146
2025-01-01 00:38:00,1.0173358,1.3278561,1.5708951
2025-01-01 00:39:00,1.017555,1.3278688,1.5705742
2025-01-01 00:40:00,1.0177739,1.3278799,1.5702517
2025-01-01 00:41:00,1.0179923,1.3278894,1.5699278
2025-01-01 00:42:00,1.0182102,1.3278975,1.5696025
2025-01-01 00:43:00,1.0184278,1.327904,1.569276
2025-01-01 00:44:00,1.018645,1.3279091,1.568948
2025-01-01 00:45:00,1.018862,1.3279127,1.5686189
2025-01-01 00:46:00,1.0190787,1.3279148,1.5682884
2025-01-01 00:47:00,1.0192952,1.3279157,1.5679568
2025-01-01 00:48:00,1.0195115,1.3279152,1.5676241
2025-01-01 00:49:00,1.0197275,1.3279134,1.5672903
