index,variable_name
0,T_001:BC000
1,T_001:BC001
2,T_001:BC002
3,T_001:BC003
4,T_001:BC004
5,T_001:BC005
6,T_001:BC006
7,T_001:BC007
8,T_001:BC008
9,T_001:BC009
10,T_001:BC010
11,T_001:BC011
12,T_001:BC012
13,T_001:BC013
14,T_001:BC014
15,T_001:BC015
16,T_001:BC016
17,T_001:BC017
18,T_001:BC018
19,T_001:BC019
20,T_001:BC020
21,T_001:BC021
22,T_001:BC022
23,T_001:BC023
24,T_001:BC024
25,T_001:BC025
26,T_001:BC026
27,T_001:BC027
28,T_001:BC028
29,T_001:BC029
30,T_001:BC030
31,T_001:BC031
32,T_001:BC032
33,T_001:BC033
34,T_001:BC034
35,T_001:BC035
36,T_001:BC036
37,T_001:BC037
38,T_001:BC038
39,T_001:BC039
40,T_001:BC040
41,T_001:BC041
42,T_001:BC042
43,T_001:BC043
44,T_001:BC044
45,T_001:BC045
46,T_001:BC046
47,T_001:BC047
48,T_001:BC048
49,T_001:BC049
50,T_001:BC050
51,T_001:BC051
52,T_001:BC052
53,T_001:BC053
54,T_001:BC054
55,T_001:BC055
56,T_001:BC056
57,T_001:BC057
58,T_001:BC058
59,T_001:BC059
60,T_001:BC060
61,T_001:BC061
62,T_001:BC062
63,T_001:BC063
64,T_001:BC064
65,T_001:BC065
66,T_001:BC066
67,T_001:BC067
68,T_001:BC068
69,T_001:BC069
70,T_001:BC070
71,T_001:BC071
72,T_001:BC072
73,T_001:BC073
74,T_001:BC074
75,T_001:BC075
76,T_001:BC076
77,T_001:BC077
78,T_001:BC078
79,T_001:BC079
80,T_001:BC080
81,T_001:BC081
82,T_001:BC082
83,T_001:BC083
84,T_001:BC084
85,T_001:BC085
86,T_001:BC086
87,T_001:BC087
88,T_001:BC088
89,T_001:BC089
90,T_001:BC090
91,T_001:BC091
92,T_001:BC092
93,T_001:BC093
94,T_001:BC094
95,T_001:BC095
96,T_001:BC096
97,T_001:BC097
98,T_001:BC098
99,T_001:BC099
100,T_001:BC100
101,T_001:BC101
102,T_001:BC102
103,T_001:BC103
104,T_001:BC104
105,T_001:BC105
106,T_001:BC106
107,T_001:BC107
108,T_001:BC108
109,T_001:BC109
110,T_001:BC110
111,T_001:BC111
112,T_001:BC112
113,T_001:BC113
114,T_001:BC114
115,T_001:BC115
116,T_001:BC116
117,T_001:BC117
118,T_001:BC118
119,T_001:BC119
120,T_001:BC120
121,T_001:BC121
122,T_001:BC122
123,T_001:BC123
124,T_001:BC124
125,T_001:BC125
126,T_001:BC126
127,T_001:BC127
128,T_001:BC128
129,T_001:BC129
130,T_001:BC130
131,T_001:BC131
132,T_001:BC132
133,T_001:BC133
134,T_001:BC134
135,T_001:BC135
136,T_001:BC136
137,T_001:BC137
138,T_001:BC138
139,T_001:BC139
140,T_001:BC140
141,T_001:BC141
142,T_001:BC142
143,T_001:BC143
144,T_001:BC144
145,T_001:BC145
146,T_001:BC146
147,T_001:BC147
148,T_001:BC148
149,T_001:BC149
150,T_001:BC150
151,T_001:BC151
152,T_001:BC152
153,T_001:BC153
154,T_001:BC154
155,T_001:BC155
156,T_001:BC156
157,T_001:BC157
158,T_001:BC158
159,T_001:BC159
160,T_001:BC160
161,T_001:BC161
162,T_001:BC162
163,T_001:BC163
164,T_001:BC164
165,T_001:BC165
166,T_001:BC166
167,T_001:BC167
168,T_001:BC168
169,T_001:BC169
170,T_001:BC170
171,T_001:BC171
172,T_001:BC172
173,T_001:BC173
174,T_001:BC174
175,T_001:BC175
176,T_001:BC176
177,T_001:BC177
178,T_001:BC178
179,T_001:BC179
180,T_001:BC180
181,T_001:BC181
182,T_001:BC182
183,T_001:BC183
184,T_001:BC184
185,T_001:BC185
186,T_001:BC186
187,T_001:BC187
188,T_001:BC188
189,T_001:BC189
190,T_001:BC190
191,T_001:BC191
192,T_001:BC192
193,T_001:BC193
194,T_001:BC194
195,T_001:BC195
196,T_001:BC196
197,T_001:BC197
198,T_001:BC198
199,T_001:BC199
200,T_001:BC200
201,T_001:BC201
202,T_001:BC202
203,T_001:BC203
204,T_001:BC204
205,T_001:BC205
206,T_001:BC206
207,T_001:BC207
208,T_001:BC208
209,T_001:BC209
210,T_001:BC210
211,T_001:BC211
212,T_001:BC212
213,T_001:BC213
214,T_001:BC214
215,T_001:BC215
216,T_001:BC216
217,T_001:BC217
218,T_001:BC218
219,T_001:BC219
220,T_001:BC220
221,T_001:BC221
222,T_001:BC222
223,T_001:BC223
224,T_001:BC224
225,T_001:BC225
226,T_001:BC226
227,T_001:BC227
228,T_001:BC228
229,T_001:BC229
230,T_001:BC230
231,T_001:BC231
232,T_001:BC232
233,T_001:BC233
234,T_001:BC234
235,T_001:BC235
236,T_001:BC236
237,T_001:BC237
238,T_001:BC238
239,T_001:BC239
240,T_001:BC240
241,T_001:BC241
242,T_001:BC242
243,T_001:BC243
244,T_001:BC244
245,T_001:BC245
246,T_001:BC246
247,T_001:BC247
248,T_001:BC248
249,T_001:BC249
250,T_001:BC250
251,T_001:BC251
252,T_001:BC252
253,T_001:BC253
254,T_001:BC254
255,T_001:BC255
256,T_001:BC256
257,T_001:BC257
258,T_001:BC258
259,T_001:BC259
260,T_001:BC260
261,T_001:BC261
262,T_001:BC262
263,T_001:BC263
264,T_001:BC264
265,T_001:BC265
266,T_001:BC266
267,T_001:BC267
268,T_001:BC268
269,T_001:BC269
270,T_001:BC270
271,T_001:BC271
272,T_001:BC272
273,T_001:BC273
274,T_001:BC274
275,T_001:BC275
276,T_001:BC276
277,T_001:BC277
278,T_001:BC278
279,T_001:BC279
280,T_001:BC280
281,T_001:BC281
282,T_001:BC282
283,T_001:BC283
284,T_001:BC284
285,T_001:BC285
286,T_001:BC286
287,T_001:BC287
288,T_001:BC288
289,T_001:BC289
290,T_001:BC290
291,T_001:BC291
292,T_001:BC292
293,T_001:BC293
294,T_001:BC294
295,T_001:BC295
296,T_001:BC296
297,T_001:BC297
298,T_001:BC298
299,T_001:BC299
300,T_001:BC300
301,T_001:BC301
302,T_001:BC302
303,T_001:BC303
304,T_001:BC304
305,T_001:BC305
