variable_index,0,1,2,3,4,5,6,7
0,T_001:BC000,T_001:BC001,T_001:BC002,T_001:BC003,N_001_v000,T_001:BC000,T_001:BC000,T_001:BC000
1,T_001:BC001,T_001:BC000,T_001:BC002,T_001:BC003,N_001_v000,T_001:BC001,T_001:BC001,T_001:BC001
2,T_001:BC002,T_001:BC000,T_001:BC001,T_001:BC003,N_001_v000,T_001:BC002,T_001:BC002,T_001:BC002
3,T_001:BC003,T_001:BC000,T_001:BC001,T_001:BC002,N_001_v000,T_001:BC003,T_001:BC003,T_001:BC003
4,B_001_v000,B_001_v001,N_002_v000,C_001_v000,C_001_v001,C_001_v002,B_001_v000,B_001_v000
5,B_001_v001,B_001_v000,N_002_v000,C_001_v000,C_001_v001,C_001_v002,B_001_v001,B_001_v001
6,C_001_v000,C_001_v001,C_001_v002,B_001_v000,B_001_v001,R_001_v000,C_001_v000,C_001_v000
7,C_001_v001,C_001_v000,C_001_v002,B_001_v000,B_001_v001,R_001_v000,C_001_v001,C_001_v001
8,C_001_v002,C_001_v000,C_001_v001,B_001_v000,B_001_v001,R_001_v000,C_001_v002,C_001_v002
9,P_001_v000,P_001_v001,N_001_v000,N_002_v000,P_001_v000,P_001_v000,P_001_v000,P_001_v000
10,P_001_v001,P_001_v000,N_001_v000,N_002_v000,P_001_v001,P_001_v001,P_001_v001,P_001_v001
11,R_001_v000,C_001_v000,C_001_v001,C_001_v002,R_001_v000,R_001_v000,R_001_v000,R_001_v000
12,TE_001_v000,TE_001_v000,TE_001_v000,TE_001_v000,TE_001_v000,TE_001_v000,TE_001_v000,TE_001_v000
13,N_001_v000,T_001:BC000,T_001:BC001,T_001:BC002,T_001:BC003,P_001_v000,P_001_v001,N_001_v000
14,N_002_v000,P_001_v000,P_001_v001,B_001_v000,B_001_v001,N_002_v000,N_002_v000,N_002_v000
