variable_name,normalization_method,mean,std,min,max,q25,median,q75
T_001:BC000,standard,4.066711,0.042727,3.990614,4.159667,4.040330,4.066890,4.101576
T_001:BC001,standard,4.067242,0.042729,3.991286,4.160295,4.039384,4.068670,4.102402
T_001:BC002,standard,4.067772,0.042732,3.992003,4.160877,4.038428,4.070133,4.102445
T_001:BC003,standard,4.068302,0.042735,3.992765,4.161415,4.037485,4.071571,4.102214
B_001_v000,standard,1.063336,0.040708,0.993342,1.133342,1.025725,1.063616,1.100844
B_001_v001,standard,1.313383,0.056057,1.233186,1.450659,1.267396,1.318417,1.337404
C_001_v000,standard,1.063336,0.040708,0.993342,1.133342,1.025725,1.063616,1.100844
C_001_v001,standard,1.313383,0.056057,1.233186,1.450659,1.267396,1.318417,1.337404
P_001_v000,standard,1.063336,0.040708,0.993342,1.133342,1.025725,1.063616,1.100844
P_001_v001,standard,1.313383,0.056057,1.233186,1.450659,1.267396,1.318417,1.337404
R_001_v000,standard,1.063336,0.040708,0.993342,1.133342,1.025725,1.063616,1.100844
TE_001_v000,standard,1.063336,0.040708,0.993342,1.133342,1.025725,1.063616,1.100844
N_001_v000,standard,1.063336,0.040708,0.993342,1.133342,1.025725,1.063616,1.100844
N_002_v000,standard,1.313383,0.056057,1.233186,1.450659,1.267396,1.318417,1.337404
