token_id,variable_index,variable_name,token_type,value_average,value_median,range_start,range_end,count,probability,variable_sample_count,is_constant,is_binary,variable_group,duplicate_of
0,0,T_001:BC000,range,3.9967211187,3.9953188896,3.9906136990,4.0076336851,480,0.1111883252,4317,False,False,boundary,
1,0,T_001:BC000,range,4.0216397047,4.0225629807,4.0076336861,4.0348486890,480,0.1111883252,4317,False,False,boundary,
2,0,T_001:BC000,range,4.0400018692,4.0403485298,4.0348486900,4.0463690748,420,0.0972897846,4317,False,False,boundary,
3,0,T_001:BC000,range,4.0509469499,4.0507426262,4.0463690758,4.0564012517,478,0.1107250405,4317,False,False,boundary,
4,0,T_001:BC000,range,4.0618853887,4.0628705025,4.0564012527,4.0710806837,450,0.1042390549,4317,False,False,boundary,
5,0,T_001:BC000,range,4.0760957514,4.0762896538,4.0710806847,4.0837459554,420,0.0972897846,4317,False,False,boundary,
6,0,T_001:BC000,range,4.0909439783,4.0890188217,4.0837459564,4.0963778486,419,0.0970581422,4317,False,False,boundary,
7,0,T_001:BC000,range,4.1018225597,4.1025495529,4.0963778496,4.1072106351,390,0.0903405142,4317,False,False,boundary,
8,0,T_001:BC000,range,4.1117350505,4.1092796326,4.1072106361,4.1244907369,390,0.0903405142,4317,False,False,boundary,
9,0,T_001:BC000,range,4.1457047096,4.1486067772,4.1244907379,4.1596665382,390,0.0903405142,4317,False,False,boundary,
10,1,T_001:BC001,range,3.9973192513,3.9959852695,3.9912860394,4.0088109960,480,0.1111883252,4317,False,False,boundary,
11,1,T_001:BC001,range,4.0220947266,4.0230734348,4.0088109970,4.0345511426,480,0.1111883252,4317,False,False,boundary,
12,1,T_001:BC001,range,4.0399263246,4.0410158634,4.0345511436,4.0453710546,420,0.0972897846,4317,False,False,boundary,
13,1,T_001:BC001,range,4.0507330213,4.0497689247,4.0453710556,4.0574030866,420,0.0972897846,4317,False,False,boundary,
14,1,T_001:BC001,range,4.0615788719,4.0624198914,4.0574030876,4.0686697950,448,0.1037757702,4317,False,False,boundary,
15,1,T_001:BC001,range,4.0745327813,4.0737736225,4.0686697960,4.0837612142,420,0.0972897846,4317,False,False,boundary,
16,1,T_001:BC001,range,4.0898137774,4.0897898674,4.0837612152,4.0966501226,420,0.0972897846,4317,False,False,boundary,
17,1,T_001:BC001,range,4.1015739483,4.1024017334,4.0966501236,4.1072449674,449,0.1040074126,4317,False,False,boundary,
18,1,T_001:BC001,range,4.1118049622,4.1095080376,4.1072449684,4.1261544218,390,0.0903405142,4317,False,False,boundary,
19,1,T_001:BC001,range,4.1463172619,4.1498079300,4.1261544228,4.1602945328,390,0.0903405142,4317,False,False,boundary,
20,2,T_001:BC002,range,3.9979311824,3.9966946840,3.9920032024,4.0102539052,480,0.1111883252,4317,False,False,boundary,
21,2,T_001:BC002,range,4.0223463774,4.0225822926,4.0102539062,4.0359816541,480,0.1111883252,4317,False,False,boundary,
22,2,T_001:BC002,range,4.0401726110,4.0410561562,4.0359816551,4.0443716039,420,0.0972897846,4317,False,False,boundary,
23,2,T_001:BC002,range,4.0510022300,4.0505104065,4.0443716049,4.0594015111,420,0.0972897846,4317,False,False,boundary,
24,2,T_001:BC002,range,4.0629141203,4.0622167587,4.0594015121,4.0698418607,448,0.1037757702,4317,False,False,boundary,
25,2,T_001:BC002,range,4.0751716750,4.0753855705,4.0698418617,4.0850954046,420,0.0972897846,4317,False,False,boundary,
26,2,T_001:BC002,range,4.0904473237,4.0913231373,4.0850954056,4.0970373144,420,0.0972897846,4317,False,False,boundary,
27,2,T_001:BC002,range,4.1020979595,4.1024451256,4.0970373154,4.1073956480,449,0.1040074126,4317,False,False,boundary,
28,2,T_001:BC002,range,4.1119729556,4.1096954346,4.1073956490,4.1277880659,390,0.0903405142,4317,False,False,boundary,
29,2,T_001:BC002,range,4.1468898333,4.1501502991,4.1277880669,4.1608767509,390,0.0903405142,4317,False,False,boundary,
30,3,T_001:BC003,range,3.9985860288,3.9974467754,3.9927647114,4.0117316236,480,0.1111883252,4317,False,False,boundary,
31,3,T_001:BC003,range,4.0226295590,4.0226044655,4.0117316246,4.0351057043,480,0.1111883252,4317,False,False,boundary,
32,3,T_001:BC003,range,4.0400679793,4.0400714874,4.0351057053,4.0459914197,420,0.0972897846,4317,False,False,boundary,
33,3,T_001:BC003,range,4.0516569274,4.0524830818,4.0459914207,4.0607523908,420,0.0972897846,4317,False,False,boundary,
34,3,T_001:BC003,range,4.0644273957,4.0642809868,4.0607523918,4.0696153631,478,0.1107250405,4317,False,False,boundary,
35,3,T_001:BC003,range,4.0770554883,4.0777471066,4.0696153641,4.0863924016,420,0.0972897846,4317,False,False,boundary,
36,3,T_001:BC003,range,4.0923173269,4.0925011635,4.0863924026,4.0990352621,450,0.1042390549,4317,False,False,boundary,
37,3,T_001:BC003,range,4.1038650542,4.1039209366,4.0990352631,4.1081643095,449,0.1040074126,4317,False,False,boundary,
38,3,T_001:BC003,range,4.1143654982,4.1108536720,4.1081643105,4.1293926229,360,0.0833912439,4317,False,False,boundary,
39,3,T_001:BC003,range,4.1490076383,4.1510944366,4.1293926239,4.1614151001,360,0.0833912439,4317,False,False,boundary,
40,4,B_001_v000,range,1.0013846362,1.0007665753,0.9933416247,1.0083298673,432,0.1000694927,4317,False,False,equipment,
40,6,C_001_v000,range,1.0013846362,1.0007665753,0.9933416247,1.0083298673,432,0.1000694927,4317,False,False,equipment,B_001_v000
40,8,P_001_v000,range,1.0013846362,1.0007665753,0.9933416247,1.0083298673,432,0.1000694927,4317,False,False,equipment,B_001_v000
40,10,R_001_v000,range,1.0013846362,1.0007665753,0.9933416247,1.0083298673,432,0.1000694927,4317,False,False,equipment,B_001_v000
40,11,TE_001_v000,range,1.0013846362,1.0007665753,0.9933416247,1.0083298673,432,0.1000694927,4317,False,False,equipment,B_001_v000
40,12,N_001_v000,range,1.0013846362,1.0007665753,0.9933416247,1.0083298673,432,0.1000694927,4317,False,False,equipment,B_001_v000
41,4,B_001_v000,range,1.0145516685,1.0144461989,1.0083298683,1.0214087953,432,0.1000694927,4317,False,False,equipment,
41,6,C_001_v000,range,1.0145516685,1.0144461989,1.0083298683,1.0214087953,432,0.1000694927,4317,False,False,equipment,B_001_v000
41,8,P_001_v000,range,1.0145516685,1.0144461989,1.0083298683,1.0214087953,432,0.1000694927,4317,False,False,equipment,B_001_v000
41,10,R_001_v000,range,1.0145516685,1.0144461989,1.0083298683,1.0214087953,432,0.1000694927,4317,False,False,equipment,B_001_v000
41,11,TE_001_v000,range,1.0145516685,1.0144461989,1.0083298683,1.0214087953,432,0.1000694927,4317,False,False,equipment,B_001_v000
41,12,N_001_v000,range,1.0145516685,1.0144461989,1.0083298683,1.0214087953,432,0.1000694927,4317,False,False,equipment,B_001_v000
42,4,B_001_v000,range,1.0287385466,1.0287326574,1.0214087963,1.0362273445,433,0.1003011350,4317,False,False,equipment,
42,6,C_001_v000,range,1.0287385466,1.0287326574,1.0214087963,1.0362273445,433,0.1003011350,4317,False,False,equipment,B_001_v000
42,8,P_001_v000,range,1.0287385466,1.0287326574,1.0214087963,1.0362273445,433,0.1003011350,4317,False,False,equipment,B_001_v000
42,10,R_001_v000,range,1.0287385466,1.0287326574,1.0214087963,1.0362273445,433,0.1003011350,4317,False,False,equipment,B_001_v000
42,11,TE_001_v000,range,1.0287385466,1.0287326574,1.0214087963,1.0362273445,433,0.1003011350,4317,False,False,equipment,B_001_v000
