管线,所属地,供气点,用户,消耗量
陕京二线,北京,通州南分输站,北京城市燃气,704.838
陕京二线,北京,通州南分输站,通州热电,565.06
陕京二线,北京,通州南分输站,通州工业园,388.776
陕京二线,北京,通州南分输站,通州医院,197.339
中俄东线,北京,宝坻站,北京燃气,577.643
中俄东线,北京,永清站,北京燃气,463.17
川气东送,湖南,湘潭分输站,湘潭钢铁,538.02
川气东送,湖南,湘潭分输站,湘潭城市燃气,449.857
川气东送,湖南,湘潭分输站,湘潭化工,343.243
川气东送,湖南,湘潭分输站,湘潭医院,128.236
陕京二线,山西,阳曲压气站,太原城市燃气,613.052
陕京二线,山西,阳曲压气站,山西电力,477.818
陕京二线,山西,阳曲压气站,山西代输-工业用户,298.253
陕京二线,山西,阳曲压气站,阳曲停用表位,0.0
西气东输二线,新疆,乌鲁木齐压气站,新疆广汇,768.087
西气东输二线,新疆,乌鲁木齐压气站,乌鲁木齐燃气,691.93
西气东输二线,新疆,乌鲁木齐压气站,新疆化工,436.793
西气东输二线,新疆,乌鲁木齐压气站,乌鲁木齐零值表位,0.0
陕京二线,河北,石家庄压气站,河北钢铁,735.27
陕京二线,河北,石家庄压气站,石家庄燃气,597.808
陕京二线,河北,石家庄压气站,河北化工,450.673
陕京二线,河北,石家庄压气站,石家庄停用表位,0.0
川气东送,上海,上海白鹤末站,上海管网,809.132
川气东送,上海,上海白鹤末站,上海电力,621.838
川气东送,上海,上海白鹤末站,白鹤工业园,374.496
川气东送,上海,上海白鹤末站,白鹤零值表位,0.0
西气东输一线,新疆,王家沟末站,新疆生产建设兵团,562.967
西气东输一线,新疆,王家沟末站,王家沟工业,351.088
西气东输一线,新疆,王家沟末站,王家沟零值表位,0.0
西气东输二线,甘肃,兰州分输站,甘肃城市燃气,714.557
西气东输二线,甘肃,兰州分输站,兰州石化,547.989
西气东输三线,甘肃,武威分输站,甘肃工业集团,441.385
西气东输三线,甘肃,张掖分输站,河西城市燃气,299.512
川气东送,贵州,贵阳北站,贵州管网,454.806
川气东送,贵州,遵义站,贵州管网,389.294
川气东送,贵州,安顺站,贵州管网,324.456
川气东送,广西,南宁站,广西管网,500.301
川气东送,广西,柳州站,广西管网,375.619
川气东送,广西,桂林站,广西管网,318.885
川气东送,上海,甪直站,上海管网,555.706
中俄东线,上海,南通站,上海管网,361.798
中俄东线,江苏,南通站,江苏城市燃气,744.687
冀宁线,江苏,南京站,江苏电力,615.862
中俄东线,江苏,海安站,江苏化工,473.216
川气东送,江苏,甪直站,苏州工业园,432.409
中俄东线,江苏,如皋站,江苏交通能源,285.823
冀宁线,河北,安平站,河北城市燃气,506.57
西气东输一线,新疆,昌吉站,昌吉工业,381.262
西气东输一线,新疆,精河站,伊犁能源,327.168
