管道划分,站名,lon,lat,类型,控制类型,输入流量,计算流量
西气东输一线,霍尔果斯首站,76.1556,27.0482,气源,定流量,5397.428,-5397.428
西气东输一线,乌鲁木齐站,114.3902,34.4775,需求,定需求,,534.133
西气东输一线,昌吉站,86.3838,41.5389,需求,定需求,,421.732
西气东输一线,乌苏站,98.4254,31.0004,需求,定需求,,570.907
西气东输一线,精河站,100.9287,29.3551,需求,定需求,,438.049
西气东输一线,中卫站,116.9033,38.7701,需求,定需求,,403.457
西气东输一线,古浪站,102.2127,29.1211,需求,定需求,,505.285
西气东输一线,永昌站,110.258,38.5576,需求,定需求,,513.441
西气东输一线,靖边站,125.3362,28.1973,气源,定流量,1511.335,-1511.335
西气东输一线,石家庄站,81.1041,29.2776,联络,平衡,,143.28
西气东输一线,永清站,87.5129,33.5107,联络,平衡,,126.511
西气东输二线,霍尔果斯首站,76.1556,27.0482,气源,定流量,5018.012,-5018.012
西气东输二线,乌鲁木齐站,114.3902,34.4775,需求,定需求,,533.629
西气东输二线,昌吉站,86.3838,41.5389,需求,定需求,,415.104
西气东输二线,乌苏站,98.4254,31.0004,需求,定需求,,537.77
西气东输二线,精河站,100.9287,29.3551,需求,定需求,,421.114
西气东输二线,中卫站,116.9033,38.7701,需求,定需求,,433.312
西气东输二线,古浪站,102.2127,29.1211,需求,定需求,,479.407
西气东输二线,永昌站,110.258,38.5576,需求,定需求,,536.366
西气东输二线,临潼站,120.4907,39.0279,需求,定需求,,425.32
西气东输二线,高陵站,97.1688,27.7344,需求,定需求,,314.406
西气东输二线,华阴站,88.1492,42.2953,需求,定需求,,477.808
西气东输二线,潼关站,85.8001,40.3774,需求,定需求,,400.117
西气东输二线,榆林站,82.8513,42.114,气源,定流量,1974.103,-1974.103
西气东输二线,靖边站,125.3362,28.1973,气源,定流量,1451.572,-1451.572
西气东输二线,石家庄站,81.1041,29.2776,联络,平衡,,141.578
西气东输二线,永清站,87.5129,33.5107,联络,平衡,,93.768
西气东输二线,通州南站,116.3593,33.2408,需求,定需求,,317.937
西气东输三线,霍尔果斯首站,76.1556,27.0482,气源,定流量,5307.285,-5307.285
西气东输三线,乌鲁木齐站,114.3902,34.4775,需求,定需求,,489.05
西气东输三线,昌吉站,86.3838,41.5389,需求,定需求,,417.597
西气东输三线,乌苏站,98.4254,31.0004,需求,定需求,,560.82
西气东输三线,精河站,100.9287,29.3551,需求,定需求,,414.283
西气东输三线,中卫站,116.9033,38.7701,需求,定需求,,409.771
西气东输三线,古浪站,102.2127,29.1211,需求,定需求,,471.269
西气东输三线,永昌站,110.258,38.5576,需求,定需求,,528.129
西气东输三线,临潼站,120.4907,39.0279,需求,定需求,,425.023
西气东输三线,高陵站,97.1688,27.7344,需求,定需求,,311.807
西气东输三线,华阴站,88.1492,42.2953,需求,定需求,,471.72
西气东输三线,潼关站,85.8001,40.3774,需求,定需求,,403.88
西气东输三线,安平站,123.4418,23.1806,联络,平衡,,133.352
中俄东线,黑河首站,99.1922,29.3726,气源,定流量,2655.108,-2655.108
中俄东线,哈尔滨站,103.9606,26.1844,需求,定需求,,228.339
中俄东线,长春站,111.462,33.648,需求,定需求,,188.856
中俄东线,沈阳站,124.4146,40.9203,需求,定需求,,558.106
中俄东线,宝坻站,120.3107,38.039,需求,定需求,,602.176
中俄东线,永清站,87.5129,33.5107,联络,平衡,,130.363
中俄东线,南通站,116.3639,44.8043,联络,平衡,,146.398
中俄东线,如皋站,106.3082,40.8266,需求,定需求,,569.331
中俄东线,海安站,121.3887,25.8904,需求,定需求,,500.948
中俄东线,上海站,110.3595,30.5042,需求,定需求,,399.689
冀宁线,靖边站,125.3362,28.1973,气源,定流量,1452.537,-1452.537
冀宁线,石家庄站,81.1041,29.2776,联络,平衡,,102.26
冀宁线,安平站,123.4418,23.1806,联络,平衡,,96.267
冀宁线,南京站,123.0787,32.2038,需求,定需求,,432.795
冀宁线,南通站,116.3639,44.8043,联络,平衡,,117.368
冀宁线,如皋站,106.3082,40.8266,需求,定需求,,550.82
冀宁线,海安站,121.3887,25.8904,需求,定需求,,495.34
川气东送,普光首站,76.2304,44.7768,气源,定流量,2318.643,-2318.643
川气东送,达州站,115.939,36.7411,需求,定需求,,309.359
川气东送,武汉站,118.2621,36.999,需求,定需求,,494.781
川气东送,湘潭站,120.4945,25.4056,需求,定需求,,474.323
川气东送,甪直站,120.4511,32.3072,联络,平衡,,101.164
川气东送,上海站,110.3595,30.5042,需求,定需求,,432.353
川气东送,上海白鹤末站,113.6944,31.8782,需求,定需求,,628.298
陕京二线,榆林站,82.8513,42.114,气源,定流量,1851.958,-1851.958
陕京二线,靖边站,125.3362,28.1973,气源,定流量,1504.363,-1504.363
陕京二线,石家庄站,81.1041,29.2776,联络,平衡,,116.145
陕京二线,永清站,87.5129,33.5107,联络,平衡,,107.533
陕京二线,宝坻站,120.3107,38.039,需求,定需求,,625.518
陕京二线,通州南站,116.3593,33.2408,需求,定需求,,341.561
陕京二线,阳曲压气站,116.3967,37.9201,需求,定需求,,363.424
