起点站名,终点站名,类型,管道划分,管道流量
霍尔果斯首站,乌鲁木齐站,管段,西气东输一线,1551.396
乌鲁木齐站,昌吉站,管段,西气东输一线,1412.103
昌吉站,乌苏站,管段,西气东输一线,1311.157
乌苏站,精河站,管段,西气东输一线,1183.552
精河站,中卫站,管段,西气东输一线,1092.915
中卫站,古浪站,管段,西气东输一线,1044.961
古浪站,永昌站,管段,西气东输一线,929.106
永昌站,靖边站,管段,西气东输一线,906.009
靖边站,石家庄站,管段,西气东输一线,806.429
石家庄站,永清站,管段,西气东输一线,750.366
霍尔果斯首站,乌鲁木齐站,管段,西气东输二线,1710.483
乌鲁木齐站,昌吉站,管段,西气东输二线,1644.85
昌吉站,乌苏站,管段,西气东输二线,1514.853
乌苏站,精河站,管段,西气东输二线,1483.041
精河站,中卫站,管段,西气东输二线,1350.652
中卫站,古浪站,管段,西气东输二线,1349.811
古浪站,永昌站,管段,西气东输二线,1203.58
临潼站,高陵站,管段,西气东输二线,1125.608
华阴站,潼关站,管段,西气东输二线,1085.421
榆林站,靖边站,管段,西气东输二线,1021.238
靖边站,石家庄站,管段,西气东输二线,904.646
石家庄站,永清站,管段,西气东输二线,889.28
永清站,通州南站,管段,西气东输二线,730.892
霍尔果斯首站,乌鲁木齐站,管段,西气东输三线,1591.464
乌鲁木齐站,昌吉站,管段,西气东输三线,1575.626
昌吉站,乌苏站,管段,西气东输三线,1324.96
乌苏站,精河站,管段,西气东输三线,1304.56
精河站,中卫站,管段,西气东输三线,1243.924
中卫站,古浪站,管段,西气东输三线,1177.007
古浪站,永昌站,管段,西气东输三线,978.119
临潼站,高陵站,管段,西气东输三线,914.363
华阴站,潼关站,管段,西气东输三线,919.783
永昌站,安平站,管段,西气东输三线,849.737
黑河首站,哈尔滨站,管段,中俄东线,1565.704
哈尔滨站,长春站,管段,中俄东线,1486.553
长春站,沈阳站,管段,中俄东线,1536.757
沈阳站,宝坻站,管段,中俄东线,1316.629
宝坻站,永清站,管段,中俄东线,1248.609
永清站,南通站,管段,中俄东线,1235.135
南通站,如皋站,管段,中俄东线,1170.759
如皋站,海安站,管段,中俄东线,1067.48
海安站,上海站,管段,中俄东线,949.586
靖边站,石家庄站,管段,冀宁线,1112.019
石家庄站,安平站,管段,冀宁线,938.059
安平站,南京站,管段,冀宁线,895.416
南京站,南通站,管段,冀宁线,846.71
南通站,如皋站,管段,冀宁线,793.522
如皋站,海安站,管段,冀宁线,697.039
普光首站,达州站,管段,川气东送,1504.119
达州站,武汉站,管段,川气东送,1406.27
武汉站,湘潭站,管段,川气东送,1403.949
湘潭站,甪直站,管段,川气东送,1317.427
甪直站,上海站,管段,川气东送,1110.653
上海站,上海白鹤末站,管段,川气东送,1099.554
榆林站,靖边站,管段,陕京二线,1394.767
靖边站,石家庄站,管段,陕京二线,1252.366
石家庄站,永清站,管段,陕京二线,1108.003
永清站,宝坻站,管段,陕京二线,1033.545
永清站,通州南站,管段,陕京二线,1059.191
石家庄站,阳曲压气站,管段,陕京二线,184.389
